11
0,1,1,2,3,4,2,4,2,4,3,1,0
0,57,23,73,94,37,30,74,20,67,74,90,0
57,0,37,66,15,23,91,71,19,81,32,74,57
23,37,0,36,50,37,44,30,35,58,78,36,23
73,66,36,0,41,49,70,78,36,87,86,22,73
94,15,50,41,0,40,64,30,39,77,70,17,94
37,23,37,49,40,0,93,92,19,64,73,71,37
30,91,44,70,64,93,0,17,76,60,23,90,30
74,71,30,78,30,92,17,0,30,33,80,98,74
20,19,35,36,39,19,76,30,0,71,96,78,20
67,81,58,87,77,64,60,33,71,0,48,85,67
74,32,78,86,70,73,23,80,96,48,0,31,74
90,74,36,22,17,71,90,98,78,85,31,0,90
0,57,23,73,94,37,30,74,20,67,74,90,0
