56
0,3,2,4,3,3,4,2,4,4,4,4,4,4,2,3,2,4,2,3,1,2,3,4,1,4,2,4,1,4,4,2,3,3,2,2,1,3,4,3,2,4,4,2,3,2,1,3,1,4,3,4,1,1,3,3,3,0
0,61,90,84,81,91,86,96,19,68,12,20,16,23,63,31,89,85,64,44,87,44,58,58,93,66,86,68,80,44,58,55,28,57,59,65,65,35,83,74,82,90,81,34,28,98,48,25,55,58,94,23,55,92,65,61,33,0
61,0,30,91,99,78,31,78,88,66,33,71,26,22,16,98,23,87,63,72,18,12,92,33,92,80,26,39,40,99,79,56,27,45,38,79,28,75,47,56,36,46,71,50,84,53,45,24,17,17,44,42,95,96,74,17,75,61
90,30,0,58,53,88,60,48,99,68,72,30,81,59,34,68,68,29,90,62,42,44,59,83,10,95,54,50,67,86,53,33,64,31,58,39,10,11,99,43,66,93,70,28,60,56,43,34,100,56,29,14,83,68,91,56,20,90
84,91,58,0,100,94,85,53,84,92,52,62,46,87,57,36,15,46,40,37,96,80,67,38,17,42,87,92,45,92,16,100,11,52,67,48,90,74,44,30,44,68,98,35,24,39,49,56,75,86,14,38,63,41,70,28,30,84
81,99,53,100,0,52,43,95,31,76,72,15,34,46,50,45,96,58,10,14,44,14,85,42,19,45,49,12,40,98,79,98,12,20,55,87,51,10,81,49,92,40,50,44,66,57,68,30,40,46,74,74,21,100,24,81,69,81
91,78,88,94,52,0,82,25,69,66,82,65,19,72,90,78,87,58,76,29,82,59,90,38,81,45,86,44,87,19,78,54,70,20,44,65,26,38,49,31,87,52,56,96,59,70,23,36,63,68,98,57,58,66,84,10,27,91
86,31,60,85,43,82,0,96,67,52,35,51,27,51,41,86,24,95,74,94,53,86,35,93,75,73,23,16,95,79,54,67,13,100,90,56,42,50,64,55,34,52,54,29,94,65,97,69,19,56,22,42,14,63,74,21,92,86
96,78,48,53,95,25,96,0,34,74,83,56,64,41,59,98,42,64,46,12,46,21,76,27,71,75,19,66,100,83,16,75,51,28,82,57,35,82,40,34,80,68,72,42,48,65,31,66,33,71,58,56,85,53,67,65,95,96
19,88,99,84,31,69,67,34,0,25,88,49,58,93,20,20,65,59,32,66,50,42,31,86,44,19,91,65,80,86,31,26,46,79,37,54,52,67,19,10,89,54,41,14,30,63,83,82,22,53,28,91,14,62,45,81,80,19
68,66,68,92,76,66,52,74,25,0,20,33,48,21,32,75,89,46,24,72,80,99,99,74,90,49,11,99,22,62,44,51,96,22,87,76,63,13,20,63,47,76,32,52,95,77,81,89,49,47,46,91,82,28,82,16,100,68
12,33,72,52,72,82,35,83,88,20,0,79,37,100,67,12,71,73,71,73,67,74,43,81,74,97,39,42,39,10,96,30,90,31,17,48,39,34,18,72,37,95,37,87,57,27,70,97,34,62,72,30,44,71,55,19,34,12
20,71,30,62,15,65,51,56,49,33,79,0,78,57,64,35,36,59,24,28,19,63,78,70,15,92,93,17,75,44,35,62,15,65,50,12,80,45,79,90,25,43,59,39,33,97,30,50,30,44,18,11,17,22,97,32,26,20
16,26,81,46,34,19,27,64,58,48,37,78,0,93,42,11,62,32,89,11,78,81,18,90,13,64,74,62,95,23,46,24,93,11,64,43,13,16,88,10,83,67,40,28,83,90,16,75,99,55,68,85,15,78,21,50,95,16
23,22,59,87,46,72,51,41,93,21,100,57,93,0,75,63,20,75,47,66,33,11,40,85,61,41,55,50,78,88,61,71,12,26,85,77,89,96,22,58,31,62,11,85,35,50,23,77,66,38,93,78,67,50,25,23,31,23
63,16,34,57,50,90,41,59,20,32,67,64,42,75,0,31,30,39,32,31,85,74,57,48,76,65,49,57,20,62,44,21,32,20,39,85,77,47,88,17,83,76,45,30,66,23,85,55,38,39,84,94,36,41,56,60,48,63
31,98,68,36,45,78,86,98,20,75,12,35,11,63,31,0,89,50,95,18,61,52,85,58,63,61,70,93,50,71,10,89,71,72,31,20,99,15,73,51,94,99,63,53,36,36,42,56,53,40,63,96,18,36,93,39,19,31
89,23,68,15,96,87,24,42,65,89,71,36,62,20,30,89,0,62,100,46,21,14,49,52,92,27,21,57,96,48,60,21,30,98,39,98,20,82,56,77,21,84,44,21,59,53,13,75,15,91,53,27,41,55,99,85,80,89
85,87,29,46,58,58,95,64,59,46,73,59,32,75,39,50,62,0,73,93,38,72,63,13,43,55,19,16,51,99,26,14,42,32,77,38,67,70,70,14,67,39,48,41,58,58,75,85,78,41,11,88,78,48,86,48,64,85
64,63,90,40,10,76,74,46,32,24,71,24,89,47,32,95,100,73,0,46,73,59,44,25,64,57,45,23,28,46,52,34,59,65,87,33,40,34,85,63,40,31,24,51,79,58,83,70,37,56,10,12,81,78,31,30,97,64
44,72,62,37,14,29,94,12,66,72,73,28,11,66,31,18,46,93,46,0,11,87,64,14,81,78,24,90,14,10,89,37,67,28,95,57,44,90,12,21,88,11,28,51,58,23,58,72,15,51,94,64,76,80,82,91,88,44
87,18,42,96,44,82,53,46,50,80,67,19,78,33,85,61,21,38,73,11,0,53,88,71,86,41,85,60,47,24,65,96,35,53,57,29,89,14,30,16,92,35,31,40,78,60,83,73,75,44,21,88,98,30,72,76,44,87
44,12,44,80,14,59,86,21,42,99,74,63,81,11,74,52,14,72,59,87,53,0,40,51,15,99,93,45,41,96,68,95,27,28,42,59,73,30,94,99,89,27,86,78,17,73,28,96,28,42,23,95,58,76,75,29,71,44
58,92,59,67,85,90,35,76,31,99,43,78,18,40,57,85,49,63,44,64,88,40,0,26,19,51,92,43,98,78,53,34,17,13,60,91,73,28,52,70,35,61,85,10,26,57,47,87,81,56,78,75,29,18,53,80,83,58
58,33,83,38,42,38,93,27,86,74,81,70,90,85,48,58,52,13,25,14,71,51,26,0,79,67,92,37,71,42,95,45,71,14,80,84,21,27,85,90,64,98,61,17,80,43,94,88,17,82,40,39,55,31,36,44,48,58
93,92,10,17,19,81,75,71,44,90,74,15,13,61,76,63,92,43,64,81,86,15,19,79,0,96,82,93,89,48,13,88,80,100,42,26,61,86,95,84,55,75,19,78,24,62,33,54,19,87,23,19,12,81,82,15,19,93
66,80,95,42,45,45,73,75,19,49,97,92,64,41,65,61,27,55,57,78,41,99,51,67,96,0,59,20,40,14,20,36,64,91,61,31,47,21,57,51,47,17,81,14,87,70,51,75,57,27,99,93,48,20,76,95,78,66
86,26,54,87,49,86,23,19,91,11,39,93,74,55,49,70,21,19,45,24,85,93,92,92,82,59,0,41,59,17,10,27,35,65,61,26,94,50,25,60,85,16,23,47,95,59,27,32,61,12,11,30,97,18,10,11,54,86
68,39,50,92,12,44,16,66,65,99,42,17,62,50,57,93,57,16,23,90,60,45,43,37,93,20,41,0,16,31,82,23,24,25,56,38,37,22,37,31,36,70,97,18,55,36,13,53,72,60,96,19,74,89,83,40,29,68
80,40,67,45,40,87,95,100,80,22,39,75,95,78,20,50,96,51,28,14,47,41,98,71,89,40,59,16,0,52,50,40,22,68,54,100,42,84,35,52,58,22,25,14,12,21,69,48,75,77,32,57,23,22,21,17,35,80
44,99,86,92,98,19,79,83,86,62,10,44,23,88,62,71,48,99,46,10,24,96,78,42,48,14,17,31,52,0,38,63,35,18,17,75,67,39,100,55,49,70,18,39,29,37,31,27,84,38,11,55,43,22,77,48,19,44
