96
0,1,2,4,2,3,1,4,3,1,4,4,2,1,1,2,3,1,4,4,1,3,2,4,1,1,4,1,4,4,2,4,4,2,1,4,4,4,1,1,2,1,4,4,1,1,1,2,4,4,1,4,2,2,1,3,4,2,4,3,3,1,2,2,4,4,4,4,3,1,3,4,4,3,4,3,3,4,3,2,4,3,3,4,4,4,3,4,3,4,2,4,4,2,2,2,4,0
0,61,91,29,29,30,30,28,39,53,31,31,54,98,44,72,64,40,50,54,91,34,41,96,33,23,30,37,28,46,53,29,87,59,41,29,25,100,34,15,68,14,44,27,97,91,36,63,12,15,89,43,75,73,28,29,52,20,17,35,49,77,42,84,10,50,55,97,74,10,81,16,17,98,62,90,39,87,58,52,48,46,46,61,74,46,36,61,88,42,89,36,65,68,34,61,40,0
61,0,92,95,80,81,95,59,81,53,98,42,26,94,11,33,60,10,28,15,63,47,94,77,53,76,20,98,85,62,59,79,10,11,13,98,32,83,92,81,38,83,71,61,81,13,25,34,13,91,71,25,69,41,42,80,48,23,40,92,27,51,47,64,31,62,76,56,32,59,15,45,31,53,82,48,59,48,61,35,74,35,66,100,62,43,48,34,12,79,92,67,75,17,43,91,43,61
91,92,0,22,58,27,14,22,70,80,63,49,70,63,25,59,75,38,74,53,86,59,48,77,11,13,26,54,22,19,31,40,54,92,91,17,100,67,58,96,20,50,82,36,80,14,89,91,35,17,62,86,82,91,95,10,85,17,63,23,41,10,70,34,37,71,11,69,35,58,87,51,81,84,51,58,28,26,13,44,21,19,14,61,13,86,11,56,38,47,30,10,65,89,55,100,47,91
29,95,22,0,63,53,15,72,14,93,77,71,28,53,47,98,35,49,76,58,73,34,75,44,91,21,10,73,19,24,61,78,81,88,29,91,82,69,44,87,74,53,19,88,41,11,31,30,36,54,10,50,82,31,31,31,60,51,71,51,87,10,63,92,40,43,39,97,27,69,91,20,42,89,78,84,93,58,24,80,58,88,74,91,16,95,57,53,30,21,19,43,67,48,49,38,79,29
29,80,58,63,0,52,80,36,95,42,65,10,27,73,38,66,41,71,47,90,19,85,24,28,68,81,94,87,86,12,31,69,60,51,99,40,83,71,46,96,64,21,45,16,87,81,28,42,14,33,85,54,73,63,80,31,25,66,28,13,95,59,38,68,86,97,95,29,73,59,95,45,42,51,69,86,50,93,92,94,66,92,64,17,89,15,11,53,54,19,36,37,87,51,63,76,67,29
30,81,27,53,52,0,86,79,19,53,15,26,85,61,27,51,91,32,28,24,29,65,41,70,81,96,49,73,72,34,47,90,63,22,65,56,36,48,36,78,95,87,100,57,41,34,42,13,74,72,68,92,88,76,29,79,17,41,20,71,40,59,82,70,97,11,87,58,86,98,49,26,86,77,26,69,52,58,97,11,61,20,56,63,62,12,33,70,46,90,28,96,26,76,96,86,16,30
30,95,14,15,80,86,0,19,28,97,99,49,16,34,43,12,39,12,84,50,77,80,80,53,100,52,64,94,18,20,73,70,79,25,86,37,68,58,97,76,84,28,11,70,36,12,52,13,85,56,63,58,100,62,11,80,28,77,15,45,85,98,68,25,18,99,97,18,96,62,72,73,13,88,100,32,95,77,74,17,52,94,76,69,76,95,75,19,31,77,42,45,42,33,23,59,11,30
28,59,22,72,36,79,19,0,21,64,100,65,75,92,10,99,86,19,99,85,95,90,32,38,31,25,91,19,70,77,82,26,35,90,52,82,78,94,25,11,16,76,90,84,16,84,58,73,74,48,50,10,74,38,36,99,29,40,33,23,94,39,84,71,93,99,53,77,41,25,44,46,57,93,54,73,12,82,59,29,66,46,83,17,68,26,11,40,68,26,71,66,94,33,91,17,49,28
39,81,70,14,95,19,28,21,0,12,72,36,95,29,19,64,66,39,41,72,36,62,76,41,57,92,64,36,61,76,44,79,28,67,26,58,13,41,37,30,12,98,88,35,44,99,63,16,76,70,96,29,75,24,85,18,72,55,18,78,35,76,72,89,83,54,31,27,35,12,37,16,34,57,17,42,84,48,92,77,65,88,49,80,80,80,40,66,95,92,18,13,59,84,31,31,70,39
