29
0,3,2,4,1,4,4,2,2,4,4,3,4,4,4,1,2,3,1,3,4,3,4,3,3,1,3,3,1,4,0
0,72,61,65,56,35,70,84,57,69,99,70,37,42,76,67,34,93,87,50,15,19,59,40,61,65,78,41,14,75,0
72,0,70,95,64,81,29,54,57,21,21,34,37,59,45,58,23,71,28,72,60,28,87,100,45,23,54,16,99,67,72
61,70,0,35,97,87,35,36,30,37,52,76,38,33,79,30,53,61,89,73,62,71,42,66,71,82,12,69,25,53,61
65,95,35,0,89,87,41,11,31,38,33,23,82,97,22,22,97,80,70,78,47,39,37,81,40,80,49,27,50,50,65
56,64,97,89,0,30,52,32,63,12,60,36,75,67,37,49,54,25,77,40,46,22,35,13,75,44,28,87,16,70,56
35,81,87,87,30,0,29,96,70,44,40,100,15,16,56,84,39,12,69,60,37,72,100,36,94,38,37,35,62,31,35
70,29,35,41,52,29,0,35,53,73,29,69,92,81,50,65,16,60,85,51,54,57,53,18,95,25,52,43,58,99,70
84,54,36,11,32,96,35,0,18,46,51,69,62,83,66,14,10,29,91,44,29,48,17,62,91,35,24,73,80,83,84
57,57,30,31,63,70,53,18,0,48,81,72,26,16,95,59,40,80,44,95,95,48,40,23,43,17,50,46,71,62,57
69,21,37,38,12,44,73,46,48,0,28,65,93,24,20,98,28,99,44,47,86,55,85,23,67,28,57,46,54,75,69
99,21,52,33,60,40,29,51,81,28,0,62,73,35,28,17,83,17,13,90,15,34,21,50,43,64,57,76,35,78,99
70,34,76,23,36,100,69,69,72,65,62,0,28,48,32,93,38,85,42,54,41,21,91,85,45,87,54,50,91,51,70
37,37,38,82,75,15,92,62,26,93,73,28,0,96,60,96,19,40,54,81,12,27,59,50,60,41,85,23,94,12,37
42,59,33,97,67,16,81,83,16,24,35,48,96,0,52,39,25,95,14,19,10,41,95,40,12,24,75,71,22,80,42
76,45,79,22,37,56,50,66,95,20,28,32,60,52,0,75,13,38,27,22,93,93,59,27,57,79,59,90,81,29,76
67,58,30,22,49,84,65,14,59,98,17,93,96,39,75,0,82,76,59,27,11,77,55,27,58,65,45,67,37,89,67
34,23,53,97,54,39,16,10,40,28,83,38,19,25,13,82,0,55,87,92,37,79,24,90,11,76,41,83,92,57,34
93,71,61,80,25,12,60,29,80,99,17,85,40,95,38,76,55,0,37,80,99,84,75,74,91,16,30,30,35,10,93
87,28,89,70,77,69,85,91,44,44,13,42,54,14,27,59,87,37,0,82,14,39,26,24,72,56,94,21,80,47,87
50,72,73,78,40,60,51,44,95,47,90,54,81,19,22,27,92,80,82,0,10,13,67,47,79,53,71,59,95,32,50
15,60,62,47,46,37,54,29,95,86,15,41,12,10,93,11,37,99,14,10,0,69,58,35,32,47,62,56,89,93,15
19,28,71,39,22,72,57,48,48,55,34,21,27,41,93,77,79,84,39,13,69,0,62,54,86,25,68,73,40,36,19
59,87,42,37,35,100,53,17,40,85,21,91,59,95,59,55,24,75,26,67,58,62,0,100,53,78,68,37,53,77,59
40,100,66,81,13,36,18,62,23,23,50,85,50,40,27,27,90,74,24,47,35,54,100,0,12,72,33,17,38,13,40
61,45,71,40,75,94,95,91,43,67,43,45,60,12,57,58,11,91,72,79,32,86,53,12,0,66,56,58,32,13,61
65,23,82,80,44,38,25,35,17,28,64,87,41,24,79,65,76,16,56,53,47,25,78,72,66,0,12,16,45,93,65
78,54,12,49,28,37,52,24,50,57,57,54,85,75,59,45,41,30,94,71,62,68,68,33,56,12,0,87,48,79,78
41,16,69,27,87,35,43,73,46,46,76,50,23,71,90,67,83,30,21,59,56,73,37,17,58,16,87,0,77,91,41
14,99,25,50,16,62,58,80,71,54,35,91,94,22,81,37,92,35,80,95,89,40,53,38,32,45,48,77,0,40,14
75,67,53,50,70,31,99,83,62,75,78,51,12,80,29,89,57,10,47,32,93,36,77,13,13,93,79,91,40,0,75
0,72,61,65,56,35,70,84,57,69,99,70,37,42,76,67,34,93,87,50,15,19,59,40,61,65,78,41,14,75,0
