64
0,3,4,2,3,2,1,2,3,4,4,4,3,2,1,3,4,1,4,1,2,1,3,3,1,2,3,4,1,3,1,4,4,4,4,3,3,3,2,2,4,1,3,1,4,4,3,2,4,3,2,1,4,3,1,4,3,4,2,3,3,1,3,3,1,0
0,54,15,56,56,90,80,41,74,55,62,20,50,39,76,33,15,87,82,15,45,82,80,60,50,91,45,11,22,80,26,25,34,100,66,42,64,94,55,32,82,77,87,98,19,54,64,85,82,76,10,45,91,92,37,17,35,100,10,92,84,15,25,69,92,0
54,0,59,87,100,44,57,70,81,35,14,62,68,74,31,60,56,35,48,29,83,34,11,89,29,54,74,15,65,14,97,25,24,85,71,46,55,73,42,46,36,46,79,22,31,78,93,14,64,76,23,71,21,48,69,27,56,65,47,27,45,77,58,11,47,54
15,59,0,98,19,72,33,24,47,39,76,14,64,92,14,81,99,43,65,25,28,57,19,16,25,73,45,18,85,72,25,84,91,18,39,19,94,77,53,38,38,73,54,23,83,100,17,27,93,68,11,43,13,64,93,59,98,13,18,66,53,53,54,16,79,15
56,87,98,0,28,50,57,44,30,13,76,10,15,17,56,45,59,99,50,66,66,64,27,61,57,93,86,94,97,100,83,25,76,85,17,61,21,87,87,16,61,78,54,42,26,73,71,56,96,76,83,62,18,54,42,16,21,33,28,41,70,75,16,28,41,56
56,100,19,28,0,10,34,66,47,48,69,62,23,49,94,38,88,59,62,42,66,15,81,19,72,81,54,66,92,10,90,35,23,84,78,90,31,52,97,59,96,92,23,69,55,31,45,30,31,86,85,26,56,81,26,82,91,43,16,57,55,66,25,36,17,56
90,44,72,50,10,0,89,33,91,70,66,77,34,10,88,21,11,91,34,26,23,11,36,20,13,24,61,36,21,82,15,68,90,17,71,77,28,92,51,75,99,87,45,94,67,93,57,62,81,96,50,25,41,11,39,52,47,44,25,37,92,29,41,87,64,90
80,57,33,57,34,89,0,26,13,15,67,63,21,52,11,59,86,88,20,90,82,53,71,89,77,59,59,70,20,25,86,93,41,70,13,57,11,14,31,59,84,49,37,90,78,53,95,62,44,19,35,86,84,19,87,94,65,94,50,31,70,96,24,30,11,80
41,70,24,44,66,33,26,0,65,34,48,28,20,33,48,52,48,96,15,12,83,40,12,23,14,38,15,19,98,65,46,43,11,19,40,36,78,93,67,71,94,35,17,59,20,42,41,95,87,34,19,48,31,71,15,46,79,75,62,88,92,22,77,32,100,41
74,81,47,30,47,91,13,65,0,72,63,96,14,53,78,38,55,33,71,38,91,75,19,40,33,87,98,68,38,55,79,77,36,39,34,32,38,86,37,51,11,99,40,51,52,58,98,69,48,61,37,47,62,84,96,80,80,23,85,63,30,78,40,62,91,74
55,35,39,13,48,70,15,34,72,0,29,36,76,32,50,70,21,74,79,38,76,41,27,87,95,19,48,94,25,24,85,32,94,38,69,44,66,31,46,50,32,22,22,31,21,22,25,61,99,13,43,59,18,35,16,47,10,88,95,92,29,63,78,81,15,55
62,14,76,76,69,66,67,48,63,29,0,81,29,96,88,93,15,28,11,67,26,86,82,66,74,95,52,54,55,12,37,39,22,99,28,51,99,11,25,78,79,34,35,44,74,83,76,79,78,21,14,38,40,52,99,69,44,75,38,66,11,47,42,50,96,62
20,62,14,10,62,77,63,28,96,36,81,0,47,37,90,60,96,70,16,71,93,61,64,66,50,77,55,71,22,34,15,11,18,76,53,96,61,18,17,35,42,75,43,33,84,72,34,24,52,73,19,52,46,95,25,74,93,39,30,19,24,32,19,78,40,20
50,68,64,15,23,34,21,20,14,76,29,47,0,35,34,24,54,27,89,79,87,96,82,56,43,96,20,83,62,48,74,92,13,47,97,100,20,86,65,11,39,79,93,11,68,96,55,14,93,40,69,94,68,100,47,41,20,37,44,99,13,96,57,47,50,50
39,74,92,17,49,10,52,33,53,32,96,37,35,0,24,28,29,48,21,53,48,60,71,26,29,17,73,90,81,54,12,13,46,69,33,45,39,63,29,28,63,22,32,21,98,98,79,14,22,35,42,67,84,50,74,24,64,10,52,80,25,71,76,14,68,39
76,31,14,56,94,88,11,48,78,50,88,90,34,24,0,41,35,17,94,89,88,27,13,18,90,48,100,25,11,69,36,72,10,71,85,28,62,39,35,23,99,21,52,96,71,68,92,94,85,47,28,37,98,33,13,90,48,94,28,48,66,52,59,46,46,76
33,60,81,45,38,21,59,52,38,70,93,60,24,28,41,0,21,36,28,42,77,30,53,72,40,27,91,62,77,19,72,62,87,59,66,44,72,88,40,94,13,12,58,71,97,47,58,18,95,59,53,83,69,45,96,86,25,57,31,17,59,49,59,60,56,33
15,56,99,59,88,11,86,48,55,21,15,96,54,29,35,21,0,56,46,69,34,39,70,24,56,96,39,89,41,21,80,94,47,22,33,68,83,22,59,14,91,11,61,81,12,22,74,19,13,23,65,76,32,54,63,39,89,57,24,69,59,99,87,20,40,15
87,35,43,99,59,91,88,96,33,74,28,70,27,48,17,36,56,0,60,20,98,94,95,18,80,90,51,38,70,87,13,11,96,90,86,28,34,71,54,82,52,11,70,12,25,37,97,95,23,22,93,62,46,56,28,51,44,50,24,58,74,22,23,83,70,87
82,48,65,50,62,34,20,15,71,79,11,16,89,21,94,28,46,60,0,42,67,30,17,88,10,12,71,35,35,22,68,28,94,62,12,95,84,61,40,23,82,95,19,26,30,85,29,62,28,48,92,35,63,33,97,96,21,28,40,79,65,30,96,84,75,82
15,29,25,66,42,26,90,12,38,38,67,71,79,53,89,42,69,20,42,0,20,35,81,54,33,69,84,39,21,17,74,46,86,32,91,29,86,100,16,96,64,16,38,46,72,31,65,21,33,17,16,71,25,78,76,30,93,90,93,35,34,76,64,12,90,15
45,83,28,66,66,23,82,83,91,76,26,93,87,48,88,77,34,98,67,20,0,52,26,97,57,76,37,99,88,66,26,40,72,95,12,48,88,64,93,12,37,64,37,39,70,49,49,54,74,43,21,69,76,99,48,26,12,47,22,69,54,91,82,55,47,45
82,34,57,64,15,11,53,40,75,41,86,61,96,60,27,30,39,94,30,35,52,0,42,60,52,94,36,65,31,76,51,78,74,21,31,55,42,86,11,87,25,67,18,83,51,97,39,55,87,94,28,67,31,82,38,44,88,73,78,11,36,41,34,62,84,82
80,11,19,27,81,36,71,12,19,27,82,64,82,71,13,53,70,95,17,81,26,42,0,26,94,50,42,67,19,97,20,44,82,46,70,25,95,14,50,30,54,65,75,34,33,26,60,45,72,53,74,36,42,21,92,68,89,18,21,90,69,62,17,50,65,80
60,89,16,61,19,20,89,23,40,87,66,66,56,26,18,72,24,18,88,54,97,60,26,0,35,80,55,45,84,50,40,11,54,33,18,62,48,93,50,32,31,94,92,88,42,25,91,31,11,100,30,48,19,87,37,88,92,93,36,45,42,23,66,39,86,60
50,29,25,57,72,13,77,14,33,95,74,50,43,29,90,40,56,80,10,33,57,52,94,35,0,35,52,36,98,32,14,53,82,40,48,51,21,76,60,56,53,26,91,27,44,58,91,89,13,75,79,47,19,87,98,17,54,96,33,12,67,31,65,63,18,50
91,54,73,93,81,24,59,38,87,19,95,77,96,17,48,27,96,90,12,69,76,94,50,80,35,0,64,54,14,55,84,38,47,59,21,20,89,86,18,94,18,30,57,93,47,63,43,87,29,71,84,95,14,37,22,48,36,83,100,46,93,13,71,12,40,91
45,74,45,86,54,61,59,15,98,48,52,55,20,73,100,91,39,51,71,84,37,36,42,55,52,64,0,16,74,37,16,16,62,75,38,77,34,100,98,37,62,95,96,42,79,75,100,87,85,58,94,51,72,69,51,76,85,86,34,28,90,86,61,81,59,45
11,15,18,94,66,36,70,19,68,94,54,71,83,90,25,62,89,38,35,39,99,65,67,45,36,54,16,0,76,62,54,75,64,38,65,86,38,77,46,82,71,10,49,17,42,37,40,99,27,72,58,95,56,20,29,45,40,90,95,99,15,55,85,85,34,11
22,65,85,97,92,21,20,98,38,25,55,22,62,81,11,77,41,70,35,21,88,31,19,84,98,14,74,76,0,32,51,99,10,73,63,94,67,76,32,87,62,60,39,12,37,45,42,57,32,80,95,60,56,23,32,100,25,21,91,32,19,25,54,47,38,22
80,14,72,100,10,82,25,65,55,24,12,34,48,54,69,19,21,87,22,17,66,76,97,50,32,55,37,62,32,0,61,83,14,29,47,21,59,11,31,13,64,59,37,89,99,69,79,65,79,21,63,51,54,45,66,48,99,70,78,62,45,48,95,42,88,80
26,97,25,83,90,15,86,46,79,85,37,15,74,12,36,72,80,13,68,74,26,51,20,40,14,84,16,54,51,61,0,40,45,37,92,69,44,35,82,23,45,37,81,26,57,76,39,33,23,32,27,11,60,33,90,99,12,67,85,19,24,46,75,56,72,26
25,25,84,25,35,68,93,43,77,32,39,11,92,13,72,62,94,11,28,46,40,78,44,11,53,38,16,75,99,83,40,0,79,66,77,47,85,85,36,62,13,88,25,14,42,55,26,95,93,55,52,27,98,70,72,30,91,94,82,62,53,78,48,55,45,25
34,24,91,76,23,90,41,11,36,94,22,18,13,46,10,87,47,96,94,86,72,74,82,54,82,47,62,64,10,14,45,79,0,36,67,61,96,91,79,68,61,94,84,59,23,69,12,90,87,83,72,82,11,27,14,25,59,18,64,95,33,78,99,22,20,34
100,85,18,85,84,17,70,19,39,38,99,76,47,69,71,59,22,90,62,32,95,21,46,33,40,59,75,38,73,29,37,66,36,0,45,30,48,98,94,26,88,35,21,83,23,82,91,40,52,18,45,43,52,38,74,17,99,69,41,67,42,17,98,96,16,100
66,71,39,17,78,71,13,40,34,69,28,53,97,33,85,66,33,86,12,91,12,31,70,18,48,21,38,65,63,47,92,77,67,45,0,39,52,86,24,21,12,33,39,83,62,29,70,63,50,47,96,50,91,77,26,21,36,25,65,26,65,95,16,31,45,66
42,46,19,61,90,77,57,36,32,44,51,96,100,45,28,44,68,28,95,29,48,55,25,62,51,20,77,86,94,21,69,47,61,30,39,0,12,74,74,42,86,89,22,32,26,46,100,81,25,24,58,20,100,59,88,53,34,15,31,65,91,39,49,51,70,42
64,55,94,21,31,28,11,78,38,66,99,61,20,39,62,72,83,34,84,86,88,42,95,48,21,89,34,38,67,59,44,85,96,48,52,12,0,70,10,82,52,96,50,85,47,14,63,52,67,36,51,36,20,63,25,84,54,56,94,95,15,82,36,17,38,64
