33
0,1,2,3,1,4,4,2,4,4,3,1,2,3,3,3,2,4,4,2,3,4,4,2,3,2,4,1,4,4,4,4,2,1,0
0,21,11,60,21,40,43,34,81,59,88,66,35,33,16,15,42,17,77,17,41,27,70,33,97,58,39,83,50,17,11,53,41,92,0
21,0,15,17,29,86,12,93,19,21,72,16,37,40,67,66,48,44,93,22,29,77,42,68,73,98,83,59,14,45,87,47,100,74,21
11,15,0,30,79,36,54,60,79,45,34,73,22,54,16,52,15,23,41,87,53,98,10,11,54,29,100,38,51,46,86,13,76,95,11
60,17,30,0,91,84,71,87,42,30,41,34,28,25,100,54,73,16,77,57,21,81,31,89,89,67,73,24,56,30,75,49,28,89,60
21,29,79,91,0,69,86,46,14,94,15,87,67,94,10,48,18,42,78,86,43,77,76,19,92,17,93,42,94,93,89,58,56,37,21
40,86,36,84,69,0,58,20,20,98,53,41,69,13,71,34,19,84,61,92,97,46,35,57,47,17,67,36,29,61,96,50,38,61,40
43,12,54,71,86,58,0,57,95,61,20,55,30,70,49,85,14,50,96,73,51,62,25,67,67,53,88,14,51,24,25,59,84,50,43
34,93,60,87,46,20,57,0,47,70,22,81,32,44,95,92,58,70,10,32,65,66,32,65,21,46,37,64,77,41,87,55,45,70,34
81,19,79,42,14,20,95,47,0,55,33,99,72,89,62,96,93,14,67,58,21,31,51,74,71,44,37,100,63,35,98,15,31,52,81
59,21,45,30,94,98,61,70,55,0,21,79,74,46,89,73,27,33,13,51,39,47,92,72,61,20,80,76,78,91,84,79,86,11,59
88,72,34,41,15,53,20,22,33,21,0,40,10,81,49,32,35,11,67,82,25,79,81,75,36,40,90,72,15,75,19,59,35,65,88
66,16,73,34,87,41,55,81,99,79,40,0,45,73,76,24,64,52,58,83,90,45,20,22,53,27,50,63,56,85,84,29,27,32,66
35,37,22,28,67,69,30,32,72,74,10,45,0,42,72,61,70,74,15,94,32,50,39,20,40,65,53,51,42,64,21,77,72,57,35
33,40,54,25,94,13,70,44,89,46,81,73,42,0,100,67,66,72,86,79,78,21,63,90,65,63,69,24,26,12,55,46,88,33,33
16,67,16,100,10,71,49,95,62,89,49,76,72,100,0,37,23,76,37,99,55,12,96,15,24,80,100,93,97,74,27,38,16,31,16
15,66,52,54,48,34,85,92,96,73,32,24,61,67,37,0,43,83,24,55,66,43,17,14,11,32,58,63,85,74,51,10,24,73,15
42,48,15,73,18,19,14,58,93,27,35,64,70,66,23,43,0,20,22,81,78,19,43,89,82,21,54,23,38,59,83,78,83,44,42
17,44,23,16,42,84,50,70,14,33,11,52,74,72,76,83,20,0,78,60,95,23,87,43,15,47,48,70,53,44,85,46,41,24,17
77,93,41,77,78,61,96,10,67,13,67,58,15,86,37,24,22,78,0,94,55,72,64,100,57,43,68,85,95,38,30,92,96,67,77
17,22,87,57,86,92,73,32,58,51,82,83,94,79,99,55,81,60,94,0,20,44,17,48,12,70,59,94,22,32,36,61,23,71,17
41,29,53,21,43,97,51,65,21,39,25,90,32,78,55,66,78,95,55,20,0,22,85,95,67,68,28,100,75,13,62,55,33,98,41
27,77,98,81,77,46,62,66,31,47,79,45,50,21,12,43,19,23,72,44,22,0,84,24,49,92,16,86,21,21,51,37,48,99,27
70,42,10,31,76,35,25,32,51,92,81,20,39,63,96,17,43,87,64,17,85,84,0,38,84,31,11,98,75,13,15,57,84,62,70
33,68,11,89,19,57,67,65,74,72,75,22,20,90,15,14,89,43,100,48,95,24,38,0,15,66,25,94,91,32,79,41,21,42,33
97,73,54,89,92,47,67,21,71,61,36,53,40,65,24,11,82,15,57,12,67,49,84,15,0,45,29,41,15,63,18,41,96,32,97
58,98,29,67,17,17,53,46,44,20,40,27,65,63,80,32,21,47,43,70,68,92,31,66,45,0,18,94,57,73,37,45,30,33,58
39,83,100,73,93,67,88,37,37,80,90,50,53,69,100,58,54,48,68,59,28,16,11,25,29,18,0,38,14,26,50,50,23,13,39
83,59,38,24,42,36,14,64,100,76,72,63,51,24,93,63,23,70,85,94,100,86,98,94,41,94,38,0,29,23,34,83,23,60,83
50,14,51,56,94,29,51,77,63,78,15,56,42,26,97,85,38,53,95,22,75,21,75,91,15,57,14,29,0,44,57,87,25,68,50
17,45,46,30,93,61,24,41,35,91,75,85,64,12,74,74,59,44,38,32,13,21,13,32,63,73,26,23,44,0,64,44,84,94,17
11,87,86,75,89,96,25,87,98,84,19,84,21,55,27,51,83,85,30,36,62,51,15,79,18,37,50,34,57,64,0,99,77,77,11
53,47,13,49,58,50,59,55,15,79,59,29,77,46,38,10,78,46,92,61,55,37,57,41,41,45,50,83,87,44,99,0,85,14,53
41,100,76,28,56,38,84,45,31,86,35,27,72,88,16,24,83,41,96,23,33,48,84,21,96,30,23,23,25,84,77,85,0,64,41
92,74,95,89,37,61,50,70,52,11,65,32,57,33,31,73,44,24,67,71,98,99,62,42,32,33,13,60,68,94,77,14,64,0,92
0,21,11,60,21,40,43,34,81,59,88,66,35,33,16,15,42,17,77,17,41,27,70,33,97,58,39,83,50,17,11,53,41,92,0
