21
0,2,4,4,4,1,4,2,3,3,2,1,2,1,4,4,2,3,4,4,1,3,0
0,26,58,90,87,97,80,45,82,21,34,41,56,89,41,27,58,25,10,31,58,12,0
26,0,34,66,24,41,21,54,97,90,100,26,36,12,57,26,75,82,58,71,88,89,26
58,34,0,81,33,51,39,15,57,72,60,69,99,94,43,64,90,80,85,67,34,62,58
90,66,81,0,33,97,68,67,35,82,28,35,58,14,86,26,30,67,45,88,26,98,90
87,24,33,33,0,27,87,25,17,60,34,85,59,76,51,28,11,83,29,65,93,55,87
97,41,51,97,27,0,44,38,68,93,72,67,32,90,88,57,13,26,54,52,94,76,97
80,21,39,68,87,44,0,51,73,75,91,49,85,83,52,60,56,99,26,26,16,17,80
45,54,15,67,25,38,51,0,49,94,15,41,78,19,75,28,35,70,93,33,42,81,45
82,97,57,35,17,68,73,49,0,24,44,41,81,60,46,40,70,94,20,75,68,27,82
21,90,72,82,60,93,75,94,24,0,75,81,99,97,88,47,25,31,17,99,100,37,21
34,100,60,28,34,72,91,15,44,75,0,99,15,50,73,59,54,91,52,17,48,79,34
41,26,69,35,85,67,49,41,41,81,99,0,76,47,77,74,96,35,97,64,25,75,41
56,36,99,58,59,32,85,78,81,99,15,76,0,86,23,12,75,87,49,65,19,96,56
89,12,94,14,76,90,83,19,60,97,50,47,86,0,42,24,17,95,32,59,55,69,89
41,57,43,86,51,88,52,75,46,88,73,77,23,42,0,61,15,100,40,78,91,57,41
27,26,64,26,28,57,60,28,40,47,59,74,12,24,61,0,11,95,50,66,58,19,27
58,75,90,30,11,13,56,35,70,25,54,96,75,17,15,11,0,25,36,77,96,95,58
25,82,80,67,83,26,99,70,94,31,91,35,87,95,100,95,25,0,54,40,13,26,25
10,58,85,45,29,54,26,93,20,17,52,97,49,32,40,50,36,54,0,81,74,31,10
31,71,67,88,65,52,26,33,75,99,17,64,65,59,78,66,77,40,81,0,34,28,31
58,88,34,26,93,94,16,42,68,100,48,25,19,55,91,58,96,13,74,34,0,45,58
12,89,62,98,55,76,17,81,27,37,79,75,96,69,57,19,95,26,31,28,45,0,12
0,26,58,90,87,97,80,45,82,21,34,41,56,89,41,27,58,25,10,31,58,12,0
