68
0,1,4,4,2,1,4,1,2,3,4,1,4,2,1,4,1,3,2,2,2,3,1,4,1,1,3,2,4,1,2,2,2,4,4,3,2,4,2,3,4,4,4,1,2,2,2,3,3,4,3,3,2,2,1,2,1,3,1,3,2,2,2,1,4,3,2,3,2,0
0,68,71,26,60,66,32,11,56,27,40,16,55,46,44,38,20,11,97,37,53,70,60,81,98,30,98,93,43,72,19,30,78,63,81,31,81,49,94,60,59,59,42,49,36,25,22,26,49,19,40,17,14,13,73,31,27,13,45,12,41,21,75,42,30,95,73,92,39,0
68,0,10,72,67,17,51,73,90,100,67,52,39,67,30,91,48,17,12,95,23,99,56,92,61,36,46,67,87,19,98,70,38,21,33,17,55,71,63,23,14,28,84,12,31,84,98,27,47,12,62,74,19,19,14,59,62,84,72,98,43,98,76,88,46,70,87,96,93,68
71,10,0,62,33,24,90,15,100,23,20,58,21,55,19,21,83,50,40,33,52,100,30,38,53,60,22,98,54,57,83,70,36,40,94,91,68,76,30,48,64,27,44,15,97,52,58,10,83,24,44,84,68,28,29,22,16,62,36,68,22,68,77,71,87,16,71,32,92,71
26,72,62,0,61,22,95,91,89,51,43,30,73,53,26,16,25,55,37,43,86,18,75,19,77,47,61,15,22,19,92,81,71,57,80,92,63,34,70,94,42,41,69,34,91,97,77,30,42,66,97,57,87,61,68,75,45,60,74,91,37,12,51,13,64,64,96,34,60,26
60,67,33,61,0,74,42,100,53,45,22,25,84,99,45,12,78,99,89,96,44,45,56,37,82,24,17,11,75,85,46,44,27,74,52,49,45,45,14,84,98,18,36,79,100,24,37,30,86,92,76,58,38,43,85,42,62,91,17,88,26,84,40,30,92,26,12,37,25,60
66,17,24,22,74,0,94,25,48,88,18,29,48,78,51,89,66,99,57,69,15,34,86,26,41,18,24,69,19,44,39,82,48,76,30,41,60,54,14,31,55,82,49,50,66,36,70,44,86,19,66,58,67,71,17,95,43,16,95,39,32,56,47,91,69,49,56,81,60,66
32,51,90,95,42,94,0,66,57,71,65,33,26,79,50,74,41,41,60,55,82,46,60,62,99,63,83,12,34,96,65,71,41,59,28,49,23,61,14,27,92,74,82,39,95,22,54,82,63,13,69,52,99,77,35,66,77,77,79,83,52,88,19,77,33,28,11,21,60,32
11,73,15,91,100,25,66,0,93,89,95,25,51,18,31,65,38,77,82,49,38,56,14,89,16,54,59,34,52,95,86,32,89,41,73,11,37,14,83,18,89,15,78,17,25,24,75,32,98,85,40,100,97,60,93,21,72,20,78,40,26,44,88,44,38,88,13,60,69,11
56,90,100,89,53,48,57,93,0,52,97,93,35,47,93,85,28,11,38,13,92,30,70,62,73,30,84,90,18,94,76,100,19,72,23,30,61,75,59,25,59,12,33,83,77,28,36,58,61,64,54,77,81,52,33,85,73,28,32,35,17,33,31,58,65,88,39,26,68,56
27,100,23,51,45,88,71,89,52,0,42,25,96,36,32,75,19,29,30,20,82,99,14,24,57,82,67,64,55,87,65,72,89,31,16,85,75,22,65,28,51,58,13,34,87,30,68,75,75,63,50,18,76,59,86,33,98,25,86,15,35,98,37,71,81,12,75,47,96,27
40,67,20,43,22,18,65,95,97,42,0,69,69,67,69,67,14,28,36,65,65,83,60,34,36,58,86,34,36,94,72,81,97,82,70,64,58,58,47,88,49,21,80,28,84,61,77,51,97,48,39,73,72,26,70,100,25,12,57,86,55,19,84,91,83,17,64,81,13,40
16,52,58,30,25,29,33,25,93,25,69,0,100,56,45,25,29,94,93,59,69,29,60,88,32,33,78,67,74,90,36,80,26,33,54,31,78,61,86,94,98,67,21,77,58,98,58,28,57,88,23,50,67,55,21,69,87,32,32,28,16,72,69,52,65,67,46,71,76,16
55,39,21,73,84,48,26,51,35,96,69,100,0,12,69,68,28,47,100,92,36,43,26,93,55,91,37,38,100,43,64,11,77,100,22,96,88,13,17,47,60,10,53,35,75,45,34,98,25,37,47,76,30,32,24,19,83,66,92,34,31,80,39,12,28,70,12,16,36,55
46,67,55,53,99,78,79,18,47,36,67,56,12,0,90,96,28,87,55,38,64,67,33,20,60,70,41,28,49,28,91,54,31,96,28,17,63,28,38,19,75,70,26,52,18,20,70,52,79,20,70,25,47,91,17,27,88,83,21,70,48,40,44,35,42,92,78,55,99,46
