62
0,3,4,4,3,3,1,3,3,1,3,1,2,3,4,2,1,3,2,3,1,3,4,4,3,4,4,4,2,2,1,2,3,3,3,4,4,3,3,2,1,3,2,2,1,1,4,2,4,4,3,4,4,2,1,1,2,4,2,1,1,4,1,0
0,87,25,96,73,19,18,71,82,75,84,53,87,16,29,23,42,55,23,99,95,28,79,77,42,24,67,83,47,19,76,15,60,95,48,10,69,40,94,45,27,34,31,36,79,34,42,52,46,100,27,16,79,31,74,34,12,90,56,71,72,100,33,0
87,0,82,91,23,60,44,79,20,96,36,99,33,77,35,95,19,95,36,89,86,45,79,33,85,88,32,100,54,37,74,71,81,13,73,21,66,59,97,63,16,86,62,52,92,35,58,98,11,100,40,90,74,41,84,39,61,27,11,82,46,31,15,87
25,82,0,66,53,100,89,54,19,80,56,86,90,99,25,87,26,71,92,27,44,89,70,24,55,35,26,94,10,48,44,39,34,45,60,95,26,77,35,80,94,22,54,60,43,58,38,22,83,84,100,25,11,81,85,52,83,77,97,52,20,74,66,25
96,91,66,0,95,28,22,50,45,25,78,53,98,84,94,90,34,65,82,94,42,50,33,70,75,99,45,54,47,99,67,43,35,16,56,65,35,11,53,75,22,46,34,83,91,49,75,45,47,53,86,43,94,41,69,10,89,41,36,55,51,63,80,96
73,23,53,95,0,29,58,74,31,45,25,26,76,89,75,56,18,42,56,96,57,53,15,10,100,81,44,67,22,35,36,36,13,90,81,30,49,79,38,64,93,10,31,51,51,78,43,79,60,84,52,75,55,65,77,100,76,28,39,31,83,88,33,73
19,60,100,28,29,0,15,55,12,81,15,28,49,69,85,36,30,93,85,67,14,39,88,34,37,52,22,44,72,83,18,57,84,36,65,38,92,47,61,43,66,29,61,97,95,72,42,33,32,46,95,36,55,88,62,83,39,93,30,93,37,26,71,19
18,44,89,22,58,15,0,32,50,50,94,97,26,96,68,17,58,66,10,22,22,93,35,50,34,85,24,43,73,52,93,14,18,94,70,84,10,86,62,58,61,84,62,57,59,92,72,56,38,72,77,49,25,40,77,91,73,16,99,97,65,14,44,18
71,79,54,50,74,55,32,0,47,49,53,88,93,88,95,20,80,71,34,14,94,32,75,35,59,43,52,98,36,100,64,45,71,14,80,25,82,76,38,10,87,35,28,90,61,79,89,81,35,59,35,71,36,85,14,84,64,30,53,70,76,80,93,71
82,20,19,45,31,12,50,47,0,54,99,76,17,78,98,63,36,58,54,61,22,19,96,77,34,87,20,42,66,26,89,39,16,73,31,30,34,84,33,40,50,81,60,26,36,43,33,88,10,41,57,98,41,58,71,83,58,51,22,91,50,47,89,82
75,96,80,25,45,81,50,49,54,0,61,50,73,11,28,74,75,62,38,58,96,65,65,95,96,59,41,10,43,46,52,95,50,63,22,61,42,35,89,53,38,72,94,69,97,77,58,57,71,16,60,70,80,13,24,78,71,30,61,49,46,68,35,75
84,36,56,78,25,15,94,53,99,61,0,51,24,13,25,46,23,80,54,37,54,31,93,92,90,45,54,45,24,57,54,89,56,94,67,85,18,22,39,85,38,63,70,63,59,45,24,67,17,74,85,14,65,75,90,69,48,82,17,100,13,88,43,84
53,99,86,53,26,28,97,88,76,50,51,0,92,67,39,93,74,72,56,24,78,54,31,52,100,97,33,73,20,54,100,54,25,48,80,18,71,14,64,73,67,14,21,33,64,50,21,64,91,53,87,25,53,84,69,10,56,75,82,63,21,10,93,53
87,33,90,98,76,49,26,93,17,73,24,92,0,30,37,51,67,37,36,60,90,57,14,76,83,11,80,36,38,68,87,55,78,21,22,69,45,21,30,71,40,55,93,49,98,65,44,92,58,73,72,34,29,43,89,23,98,25,68,14,17,13,73,87
16,77,99,84,89,69,96,88,78,11,13,67,30,0,86,69,79,54,75,83,58,85,14,100,92,11,86,54,62,20,65,39,63,82,84,40,46,32,80,12,24,31,56,71,20,61,12,64,75,57,48,33,14,83,81,29,83,40,13,63,37,25,49,16
29,35,25,94,75,85,68,95,98,28,25,39,37,86,0,35,89,67,47,17,64,10,56,68,26,66,95,26,86,33,85,47,28,93,64,48,10,53,90,83,51,24,89,49,19,41,46,19,21,91,28,49,65,97,20,60,82,68,28,64,47,50,70,29
23,95,87,90,56,36,17,20,63,74,46,93,51,69,35,0,40,58,71,71,70,78,66,96,55,63,21,42,91,84,33,29,89,50,24,20,67,18,74,88,67,49,42,85,68,81,86,70,72,10,80,51,86,28,33,19,28,37,26,96,16,76,29,23
42,19,26,34,18,30,58,80,36,75,23,74,67,79,89,40,0,97,72,84,58,47,70,66,50,38,38,74,94,47,54,53,20,97,92,91,47,51,53,75,17,19,80,51,74,30,57,82,58,100,26,92,100,10,86,59,87,42,32,80,56,71,38,42
55,95,71,65,42,93,66,71,58,62,80,72,37,54,67,58,97,0,20,52,26,60,75,67,98,44,23,65,23,34,100,92,35,50,88,37,32,31,60,73,33,65,37,46,87,54,16,26,81,60,67,32,73,49,93,33,63,85,97,58,20,65,41,55
23,36,92,82,56,85,10,34,54,38,54,56,36,75,47,71,72,20,0,46,23,97,16,46,11,29,54,93,51,37,66,13,100,16,62,86,54,83,23,44,33,68,66,50,98,43,51,67,87,64,65,91,93,94,96,61,83,87,22,17,47,96,14,23
99,89,27,94,96,67,22,14,61,58,37,24,60,83,17,71,84,52,46,0,12,71,10,82,59,79,44,43,75,16,99,68,15,69,58,63,77,79,100,76,50,43,32,40,48,70,51,51,58,19,15,12,57,51,90,57,86,71,30,55,38,36,89,99
95,86,44,42,57,14,22,94,22,96,54,78,90,58,64,70,58,26,23,12,0,18,88,40,44,67,16,45,38,35,32,67,55,52,59,50,92,12,93,36,50,41,98,61,98,86,56,86,55,84,52,58,66,43,40,32,19,80,93,98,79,16,12,95
28,45,89,50,53,39,93,32,19,65,31,54,57,85,10,78,47,60,97,71,18,0,30,62,12,53,67,100,61,86,73,68,28,10,36,28,84,43,21,97,42,16,63,40,86,32,69,98,92,87,84,49,40,51,73,41,44,41,10,31,58,29,91,28
79,79,70,33,15,88,35,75,96,65,93,31,14,14,56,66,70,75,16,10,88,30,0,25,11,10,27,56,49,54,69,20,95,74,38,74,97,78,55,53,20,47,52,92,52,16,18,56,11,32,48,50,51,54,91,14,42,86,94,86,18,19,78,79
77,33,24,70,10,34,50,35,77,95,92,52,76,100,68,96,66,67,46,82,40,62,25,0,37,75,43,54,79,26,84,27,16,49,21,37,84,66,95,55,57,70,20,69,38,49,22,31,68,11,32,44,28,69,62,57,32,55,10,36,92,91,68,77
42,85,55,75,100,37,34,59,34,96,90,100,83,92,26,55,50,98,11,59,44,12,11,37,0,45,89,76,37,39,91,14,81,48,48,70,13,95,22,79,14,11,26,24,90,15,55,69,72,80,73,22,71,27,45,58,41,39,17,48,29,32,71,42
24,88,35,99,81,52,85,43,87,59,45,97,11,11,66,63,38,44,29,79,67,53,10,75,45,0,94,63,80,29,46,46,47,82,35,54,79,66,75,75,68,38,33,97,17,95,96,79,90,100,63,41,86,67,99,52,42,71,54,56,21,11,59,24
67,32,26,45,44,22,24,52,20,41,54,33,80,86,95,21,38,23,54,44,16,67,27,43,89,94,0,33,61,35,96,25,46,32,44,25,28,57,88,99,79,37,18,86,35,10,50,20,87,22,74,90,44,51,30,60,54,18,61,95,40,51,19,67
83,100,94,54,67,44,43,98,42,10,45,73,36,54,26,42,74,65,93,43,45,100,56,54,76,63,33,0,86,96,92,21,20,30,98,80,74,45,58,79,39,71,51,95,70,73,91,62,81,68,40,14,48,79,42,20,23,62,43,31,12,74,40,83
47,54,10,47,22,72,73,36,66,43,24,20,38,62,86,91,94,23,51,75,38,61,49,79,37,80,61,86,0,92,64,83,21,35,46,95,15,47,76,15,27,17,14,83,73,80,60,73,74,37,51,97,19,35,77,67,22,13,92,65,49,86,90,47
