43
0,4,3,4,2,3,3,1,3,3,1,1,3,1,2,3,1,1,2,3,3,4,4,3,4,1,3,4,4,4,3,1,2,4,3,2,4,1,2,4,4,4,3,2,0
0,59,91,54,100,84,98,42,19,54,66,13,36,14,65,84,65,51,56,66,31,19,63,64,50,55,12,10,13,77,89,90,56,82,80,10,37,51,88,63,82,60,80,91,0
59,0,88,62,65,38,65,24,47,79,63,77,75,82,100,89,69,99,25,34,57,81,92,66,46,95,86,13,36,34,57,25,23,74,44,44,52,22,22,43,94,40,35,73,59
91,88,0,70,85,80,38,79,26,39,60,47,81,36,65,15,66,79,13,38,76,43,75,13,32,13,88,33,13,25,13,81,68,51,61,46,62,60,88,18,22,94,21,67,91
54,62,70,0,100,21,88,57,13,23,51,52,68,12,91,76,14,62,49,51,47,29,16,15,78,30,52,50,13,73,14,28,37,70,14,31,94,39,23,14,39,14,58,10,54
100,65,85,100,0,27,25,33,43,49,83,51,81,68,22,40,96,38,92,50,62,78,43,37,28,69,94,11,65,20,49,61,56,63,74,52,43,87,65,77,61,17,39,72,100
84,38,80,21,27,0,34,35,27,12,91,54,96,47,20,68,22,52,24,98,44,70,35,37,23,25,42,88,96,55,89,65,57,44,87,62,74,10,25,19,43,72,85,97,84
98,65,38,88,25,34,0,81,88,46,33,56,36,66,58,99,30,29,61,73,59,61,49,41,24,92,69,86,97,31,11,95,35,47,17,41,36,36,70,38,97,58,84,97,98
42,24,79,57,33,35,81,0,75,85,44,43,41,14,98,72,58,84,60,96,12,13,86,80,87,21,79,99,16,18,95,66,50,66,52,65,53,82,94,95,45,86,39,43,42
19,47,26,13,43,27,88,75,0,88,81,93,47,100,13,58,62,34,95,34,42,16,96,40,13,64,39,38,15,52,62,64,59,58,65,23,39,17,25,49,32,36,11,76,19
54,79,39,23,49,12,46,85,88,0,18,42,54,68,87,54,30,21,29,37,15,59,34,38,40,15,45,28,85,50,70,13,66,74,18,69,67,73,33,10,33,72,83,97,54
66,63,60,51,83,91,33,44,81,18,0,50,66,71,78,94,87,63,60,10,53,83,74,72,56,13,60,73,27,34,19,77,38,71,56,71,82,16,90,69,22,70,52,83,66
13,77,47,52,51,54,56,43,93,42,50,0,28,96,57,79,21,15,80,94,100,20,10,60,45,96,70,85,47,11,28,84,81,27,10,52,15,94,33,27,28,42,43,96,13
36,75,81,68,81,96,36,41,47,54,66,28,0,50,27,72,70,20,13,55,33,50,12,77,49,78,100,83,53,65,80,28,34,40,43,37,54,59,94,65,86,22,20,75,36
14,82,36,12,68,47,66,14,100,68,71,96,50,0,99,99,65,47,18,33,89,13,66,20,18,84,19,94,58,94,26,30,66,71,56,91,66,10,78,50,85,97,44,38,14
65,100,65,91,22,20,58,98,13,87,78,57,27,99,0,51,58,79,73,66,64,28,66,81,25,96,48,58,67,26,77,90,71,74,74,81,81,72,26,52,64,61,30,80,65
84,89,15,76,40,68,99,72,58,54,94,79,72,99,51,0,35,69,64,45,30,70,31,94,14,88,51,22,58,21,71,64,42,97,24,67,60,19,76,79,27,46,42,73,84
65,69,66,14,96,22,30,58,62,30,87,21,70,65,58,35,0,11,63,73,17,61,33,60,36,56,81,88,48,16,20,88,97,86,64,96,61,77,63,20,61,24,96,49,65
51,99,79,62,38,52,29,84,34,21,63,15,20,47,79,69,11,0,97,44,35,98,47,32,42,90,12,82,26,79,99,43,33,90,49,40,32,72,41,52,86,94,18,78,51
56,25,13,49,92,24,61,60,95,29,60,80,13,18,73,64,63,97,0,75,68,83,47,66,80,81,46,85,99,83,34,60,79,64,39,26,85,59,89,70,82,65,48,91,56
66,34,38,51,50,98,73,96,34,37,10,94,55,33,66,45,73,44,75,0,82,33,100,26,65,60,77,29,46,27,76,33,86,60,44,93,33,33,32,25,22,79,80,95,66
31,57,76,47,62,44,59,12,42,15,53,100,33,89,64,30,17,35,68,82,0,28,81,45,36,96,11,23,18,16,23,69,62,93,95,41,32,82,30,55,65,19,87,79,31
19,81,43,29,78,70,61,13,16,59,83,20,50,13,28,70,61,98,83,33,28,0,83,59,20,74,61,42,75,40,66,71,16,26,49,95,100,43,30,73,77,70,14,79,19
63,92,75,16,43,35,49,86,96,34,74,10,12,66,66,31,33,47,47,100,81,83,0,70,95,100,95,80,11,85,62,76,74,30,11,52,50,90,52,48,10,85,43,25,63
64,66,13,15,37,37,41,80,40,38,72,60,77,20,81,94,60,32,66,26,45,59,70,0,49,25,11,87,45,88,44,46,65,43,57,53,69,76,12,23,80,10,56,43,64
50,46,32,78,28,23,24,87,13,40,56,45,49,18,25,14,36,42,80,65,36,20,95,49,0,37,40,91,76,34,18,33,95,90,27,80,80,14,73,16,85,95,33,69,50
55,95,13,30,69,25,92,21,64,15,13,96,78,84,96,88,56,90,81,60,96,74,100,25,37,0,99,41,91,83,63,13,98,68,30,18,99,23,26,51,40,50,64,86,55
12,86,88,52,94,42,69,79,39,45,60,70,100,19,48,51,81,12,46,77,11,61,95,11,40,99,0,50,87,77,25,14,69,49,41,31,12,11,40,22,43,29,20,30,12
10,13,33,50,11,88,86,99,38,28,73,85,83,94,58,22,88,82,85,29,23,42,80,87,91,41,50,0,88,72,84,49,13,37,79,32,50,61,69,65,55,31,89,29,10
13,36,13,13,65,96,97,16,15,85,27,47,53,58,67,58,48,26,99,46,18,75,11,45,76,91,87,88,0,12,67,73,16,24,84,23,53,31,89,61,38,65,52,59,13
77,34,25,73,20,55,31,18,52,50,34,11,65,94,26,21,16,79,83,27,16,40,85,88,34,83,77,72,12,0,11,74,19,53,85,100,44,21,26,97,80,100,12,98,77
89,57,13,14,49,89,11,95,62,70,19,28,80,26,77,71,20,99,34,76,23,66,62,44,18,63,25,84,67,11,0,70,60,15,85,14,58,46,67,97,75,25,83,87,89
90,25,81,28,61,65,95,66,64,13,77,84,28,30,90,64,88,43,60,33,69,71,76,46,33,13,14,49,73,74,70,0,95,84,76,20,58,80,69,79,82,70,83,67,90
56,23,68,37,56,57,35,50,59,66,38,81,34,66,71,42,97,33,79,86,62,16,74,65,95,98,69,13,16,19,60,95,0,46,47,62,12,64,41,22,63,34,12,47,56
82,74,51,70,63,44,47,66,58,74,71,27,40,71,74,97,86,90,64,60,93,26,30,43,90,68,49,37,24,53,15,84,46,0,77,68,83,31,92,57,98,50,38,55,82
80,44,61,14,74,87,17,52,65,18,56,10,43,56,74,24,64,49,39,44,95,49,11,57,27,30,41,79,84,85,85,76,47,77,0,18,50,61,36,43,20,12,17,18,80
10,44,46,31,52,62,41,65,23,69,71,52,37,91,81,67,96,40,26,93,41,95,52,53,80,18,31,32,23,100,14,20,62,68,18,0,52,92,37,16,44,12,65,41,10
37,52,62,94,43,74,36,53,39,67,82,15,54,66,81,60,61,32,85,33,32,100,50,69,80,99,12,50,53,44,58,58,12,83,50,52,0,74,17,43,46,62,78,78,37
51,22,60,39,87,10,36,82,17,73,16,94,59,10,72,19,77,72,59,33,82,43,90,76,14,23,11,61,31,21,46,80,64,31,61,92,74,0,48,32,87,23,82,51,51
88,22,88,23,65,25,70,94,25,33,90,33,94,78,26,76,63,41,89,32,30,30,52,12,73,26,40,69,89,26,67,69,41,92,36,37,17,48,0,77,23,79,67,32,88
63,43,18,14,77,19,38,95,49,10,69,27,65,50,52,79,20,52,70,25,55,73,48,23,16,51,22,65,61,97,97,79,22,57,43,16,43,32,77,0,59,51,54,53,63
82,94,22,39,61,43,97,45,32,33,22,28,86,85,64,27,61,86,82,22,65,77,10,80,85,40,43,55,38,80,75,82,63,98,20,44,46,87,23,59,0,79,27,74,82
60,40,94,14,17,72,58,86,36,72,70,42,22,97,61,46,24,94,65,79,19,70,85,10,95,50,29,31,65,100,25,70,34,50,12,12,62,23,79,51,79,0,88,19,60
80,35,21,58,39,85,84,39,11,83,52,43,20,44,30,42,96,18,48,80,87,14,43,56,33,64,20,89,52,12,83,83,12,38,17,65,78,82,67,54,27,88,0,96,80
91,73,67,10,72,97,97,43,76,97,83,96,75,38,80,73,49,78,91,95,79,79,25,43,69,86,30,29,59,98,87,67,47,55,18,41,78,51,32,53,74,19,96,0,91
0,59,91,54,100,84,98,42,19,54,66,13,36,14,65,84,65,51,56,66,31,19,63,64,50,55,12,10,13,77,89,90,56,82,80,10,37,51,88,63,82,60,80,91,0
