13
0,1,3,3,2,1,2,4,1,4,1,1,3,1,0
0,44,54,24,19,59,77,41,75,86,67,37,69,56,0
44,0,93,56,40,52,11,57,20,79,79,74,31,88,44
54,93,0,72,83,92,74,67,21,31,35,59,30,49,54
24,56,72,0,58,87,66,68,41,99,57,54,79,92,24
19,40,83,58,0,14,69,50,92,51,44,60,46,65,19
59,52,92,87,14,0,66,75,56,89,88,88,87,88,59
77,11,74,66,69,66,0,48,90,43,80,51,45,48,77
41,57,67,68,50,75,48,0,84,62,52,85,73,72,41
75,20,21,41,92,56,90,84,0,22,45,84,89,14,75
86,79,31,99,51,89,43,62,22,0,56,63,19,91,86
67,79,35,57,44,88,80,52,45,56,0,57,43,49,67
37,74,59,54,60,88,51,85,84,63,57,0,85,99,37
69,31,30,79,46,87,45,73,89,19,43,85,0,88,69
56,88,49,92,65,88,48,72,14,91,49,99,88,0,56
0,44,54,24,19,59,77,41,75,86,67,37,69,56,0
