14
0,3,4,1,1,1,4,4,2,3,3,2,3,1,3,0
0,50,11,15,63,73,95,81,47,24,92,28,35,71,89,0
50,0,38,62,39,99,27,50,72,93,13,86,19,13,81,50
11,38,0,58,14,100,90,27,96,87,24,92,47,76,83,11
15,62,58,0,79,98,22,68,88,68,91,69,80,97,62,15
63,39,14,79,0,91,92,65,39,21,55,19,83,85,18,63
73,99,100,98,91,0,12,68,63,40,86,53,68,61,77,73
95,27,90,22,92,12,0,95,63,16,85,57,29,99,14,95
81,50,27,68,65,68,95,0,71,75,14,46,68,90,33,81
47,72,96,88,39,63,63,71,0,83,61,31,29,15,27,47
24,93,87,68,21,40,16,75,83,0,90,95,75,20,50,24
92,13,24,91,55,86,85,14,61,90,0,54,73,57,39,92
28,86,92,69,19,53,57,46,31,95,54,0,81,31,70,28
35,19,47,80,83,68,29,68,29,75,73,81,0,71,82,35
71,13,76,97,85,61,99,90,15,20,57,31,71,0,32,71
89,81,83,62,18,77,14,33,27,50,39,70,82,32,0,89
0,50,11,15,63,73,95,81,47,24,92,28,35,71,89,0
