67
0,3,1,2,4,3,1,2,4,4,2,3,3,4,4,1,1,4,4,4,1,1,2,1,4,4,1,3,1,2,3,3,3,3,3,1,3,4,4,2,2,2,3,2,2,2,2,4,1,3,2,1,3,4,1,3,3,3,3,3,1,1,4,3,1,4,1,2,0
0,97,45,55,20,71,58,63,14,33,66,80,90,12,20,70,32,22,60,72,91,68,66,47,36,12,17,86,47,23,36,91,39,61,45,86,36,66,70,62,63,84,27,44,67,67,16,81,26,70,54,32,38,16,27,48,92,43,22,82,52,51,43,61,40,95,38,16,0
97,0,40,25,57,11,72,15,75,54,33,28,54,50,99,73,97,59,100,16,20,99,75,42,53,55,56,98,51,44,95,71,83,68,20,94,16,40,20,43,76,93,38,16,65,15,14,57,20,30,94,66,37,78,79,73,21,15,69,48,59,88,71,81,83,94,39,18,97
45,40,0,25,22,40,35,73,84,99,48,28,55,24,75,13,53,56,65,69,78,89,63,18,10,97,39,26,25,67,82,92,85,94,37,13,20,64,45,25,95,29,24,65,23,16,12,35,100,100,44,71,38,32,88,45,42,32,97,27,11,93,56,94,43,76,53,67,45
55,25,25,0,15,37,59,43,11,27,28,67,15,71,26,33,37,34,79,55,91,20,67,64,82,13,43,40,69,82,31,67,63,30,55,24,51,67,97,67,76,29,98,49,15,42,93,90,94,58,91,14,97,41,63,27,97,95,64,30,96,38,80,45,36,15,17,92,55
20,57,22,15,0,47,31,81,33,38,76,17,38,55,48,26,83,43,25,14,55,57,16,84,14,65,51,17,75,98,76,61,91,96,19,12,43,21,73,60,18,86,89,14,92,72,11,85,50,60,85,55,10,61,47,68,14,88,47,56,92,36,45,80,23,37,79,22,20
71,11,40,37,47,0,16,75,90,78,39,80,63,34,47,83,84,24,21,44,63,84,68,55,60,27,88,31,50,37,78,97,24,82,46,13,20,43,92,63,15,32,64,86,25,15,98,63,61,94,99,17,76,95,26,13,18,31,64,12,50,54,30,22,78,24,58,89,71
58,72,35,59,31,16,0,10,56,31,80,13,67,40,72,77,11,57,51,31,54,65,65,70,59,73,14,40,46,65,38,49,17,72,93,90,41,54,78,32,80,30,43,77,46,49,55,62,100,81,34,60,46,79,20,87,57,87,67,96,14,78,68,79,21,45,16,47,58
63,15,73,43,81,75,10,0,83,65,54,30,71,35,75,11,52,37,15,86,55,55,50,87,19,22,97,40,95,83,13,60,71,63,10,14,47,41,69,51,24,52,81,34,17,12,98,52,28,30,75,50,22,81,23,97,95,17,78,35,96,90,20,65,56,22,74,35,63
14,75,84,11,33,90,56,83,0,14,65,19,45,97,47,62,88,91,82,67,87,16,35,43,81,69,69,35,40,40,46,79,83,41,57,42,21,65,76,52,57,52,31,36,14,69,83,47,57,44,47,35,40,70,11,99,34,26,66,39,71,30,35,33,34,50,77,40,14
