58
0,2,2,1,4,1,3,1,1,4,4,2,2,2,3,1,3,2,4,4,4,3,3,1,1,1,4,3,4,2,1,2,1,1,3,3,3,2,4,2,4,2,4,2,2,4,3,4,1,2,3,4,2,4,3,3,4,2,1,0
0,73,66,58,22,91,72,57,28,34,88,93,48,28,88,79,12,33,81,27,26,71,30,70,15,73,81,53,85,91,29,71,19,60,94,47,97,23,67,35,63,69,38,70,99,73,45,92,100,64,91,17,25,44,23,58,83,50,23,0
73,0,83,36,83,10,80,87,28,67,96,42,39,89,45,60,67,33,25,20,22,13,99,62,64,11,13,50,63,99,88,34,80,11,58,66,99,31,54,52,65,17,89,93,80,24,79,70,80,55,71,99,92,74,56,35,81,62,59,73
66,83,0,55,93,56,42,28,76,34,18,28,34,23,79,89,24,77,83,39,61,54,74,54,100,73,77,49,63,67,38,63,69,55,95,73,57,21,25,87,10,49,42,84,86,95,81,100,30,40,31,14,34,22,55,90,99,70,77,66
58,36,55,0,34,92,25,100,67,67,78,98,96,77,66,55,28,25,74,15,81,66,74,56,34,62,34,13,43,23,20,36,92,36,54,48,33,99,55,34,38,11,41,23,75,100,74,21,76,17,43,16,72,39,15,81,29,70,70,58
22,83,93,34,0,92,11,20,47,77,79,33,30,20,12,90,14,72,92,63,58,33,100,83,28,12,81,38,60,75,67,20,96,69,17,66,39,75,38,17,60,51,89,52,74,61,43,57,48,69,16,13,87,37,33,27,96,44,83,22
91,10,56,92,92,0,20,28,31,21,74,66,51,82,38,78,54,28,75,97,69,92,40,47,63,70,96,77,60,57,38,80,88,22,46,100,71,63,21,49,21,26,12,30,95,31,40,40,67,70,100,90,46,99,35,41,15,64,43,91
72,80,42,25,11,20,0,42,82,55,100,68,95,77,75,90,78,95,84,54,61,39,51,40,13,88,13,68,21,82,11,16,16,15,46,32,80,48,88,58,48,87,97,77,20,65,79,97,100,31,39,43,18,97,56,99,100,97,54,72
57,87,28,100,20,28,42,0,90,43,77,74,22,42,73,16,39,23,96,32,55,94,11,18,76,98,56,98,89,98,42,48,63,94,55,47,54,94,100,25,88,100,22,100,25,64,42,60,31,45,93,24,98,83,43,61,36,45,20,57
28,28,76,67,47,31,82,90,0,13,30,97,22,23,96,36,99,85,69,20,62,63,41,72,17,53,58,59,84,100,52,27,63,25,84,47,93,78,14,60,94,25,64,20,20,93,81,80,33,93,37,34,51,64,47,38,45,36,86,28
34,67,34,67,77,21,55,43,13,0,27,37,27,32,75,97,100,13,26,31,47,42,54,53,50,57,16,85,93,16,17,46,94,56,65,41,80,14,79,89,28,42,13,56,36,24,43,44,62,34,52,83,22,55,17,73,16,53,87,34
88,96,18,78,79,74,100,77,30,27,0,81,78,18,20,63,79,89,21,34,16,87,28,59,75,18,14,24,21,71,27,26,86,54,31,21,78,65,14,73,22,68,75,55,68,22,84,88,36,73,87,85,97,98,37,93,60,51,80,88
93,42,28,98,33,66,68,74,97,37,81,0,14,98,61,89,89,25,68,17,68,32,82,70,14,85,74,60,46,91,73,10,37,86,68,91,47,59,55,17,84,70,73,58,93,87,42,51,78,14,29,100,89,45,46,28,61,14,59,93
48,39,34,96,30,51,95,22,22,27,78,14,0,32,67,89,97,87,42,98,68,67,76,35,70,59,28,54,75,54,76,48,73,54,68,70,57,30,70,86,53,13,66,28,52,19,87,86,37,31,56,14,46,17,87,89,44,51,22,48
28,89,23,77,20,82,77,42,23,32,18,98,32,0,47,75,12,60,72,47,72,24,14,79,39,70,66,26,100,60,52,86,100,15,19,73,57,90,46,22,33,32,67,95,79,20,54,24,82,37,58,62,40,73,80,78,66,20,73,28
88,45,79,66,12,38,75,73,96,75,20,61,67,47,0,72,67,74,46,78,69,16,75,27,42,11,64,44,53,28,99,81,37,100,86,32,78,76,47,73,28,25,70,65,64,69,80,56,76,97,82,92,95,73,48,17,97,27,25,88
