26
0,1,2,3,1,2,2,4,2,4,3,4,1,1,2,4,4,3,3,2,4,4,1,3,2,3,1,0
0,90,90,24,15,18,76,45,12,46,21,11,64,41,77,96,28,21,14,99,89,45,85,61,33,74,64,0
90,0,69,94,82,16,61,55,59,42,30,48,13,52,64,17,91,27,90,93,70,33,59,11,98,51,65,90
90,69,0,89,23,95,53,28,82,57,89,100,87,75,26,85,57,61,31,47,27,36,100,20,86,96,76,90
24,94,89,0,76,56,96,66,73,56,44,74,31,35,15,37,21,74,59,17,21,66,91,18,59,81,36,24
15,82,23,76,0,67,10,82,90,62,82,96,64,68,94,87,43,36,74,67,26,84,47,96,66,39,52,15
18,16,95,56,67,0,74,93,77,68,94,67,11,89,40,22,82,27,91,61,66,31,37,61,71,82,33,18
76,61,53,96,10,74,0,82,25,19,36,46,33,33,83,18,83,57,70,23,23,10,90,58,24,25,55,76
45,55,28,66,82,93,82,0,87,17,75,29,85,66,16,79,91,82,91,100,21,92,42,81,63,23,19,45
12,59,82,73,90,77,25,87,0,96,92,82,37,74,51,63,47,86,34,47,12,80,82,24,90,43,35,12
46,42,57,56,62,68,19,17,96,0,66,95,67,30,14,48,74,35,49,81,22,87,18,77,55,64,28,46
21,30,89,44,82,94,36,75,92,66,0,27,84,16,60,48,91,85,25,61,31,85,56,59,17,79,30,21
11,48,100,74,96,67,46,29,82,95,27,0,39,94,38,38,66,83,95,14,74,86,28,63,76,32,92,11
64,13,87,31,64,11,33,85,37,67,84,39,0,42,64,24,64,37,54,79,62,40,31,34,61,73,77,64
41,52,75,35,68,89,33,66,74,30,16,94,42,0,83,46,95,50,38,63,12,45,46,83,94,51,42,41
77,64,26,15,94,40,83,16,51,14,60,38,64,83,0,64,100,67,10,22,70,47,15,90,16,66,25,77
96,17,85,37,87,22,18,79,63,48,48,38,24,46,64,0,41,48,62,51,65,82,19,59,78,25,60,96
28,91,57,21,43,82,83,91,47,74,91,66,64,95,100,41,0,27,35,55,68,37,94,62,32,69,80,28
21,27,61,74,36,27,57,82,86,35,85,83,37,50,67,48,27,0,22,60,30,26,74,17,44,23,86,21
14,90,31,59,74,91,70,91,34,49,25,95,54,38,10,62,35,22,0,95,49,91,100,46,30,52,20,14
99,93,47,17,67,61,23,100,47,81,61,14,79,63,22,51,55,60,95,0,41,28,16,52,65,21,50,99
89,70,27,21,26,66,23,21,12,22,31,74,62,12,70,65,68,30,49,41,0,25,80,54,42,63,95,89
45,33,36,66,84,31,10,92,80,87,85,86,40,45,47,82,37,26,91,28,25,0,84,22,73,67,88,45
85,59,100,91,47,37,90,42,82,18,56,28,31,46,15,19,94,74,100,16,80,84,0,32,77,25,73,85
61,11,20,18,96,61,58,81,24,77,59,63,34,83,90,59,62,17,46,52,54,22,32,0,79,59,29,61
33,98,86,59,66,71,24,63,90,55,17,76,61,94,16,78,32,44,30,65,42,73,77,79,0,15,10,33
74,51,96,81,39,82,25,23,43,64,79,32,73,51,66,25,69,23,52,21,63,67,25,59,15,0,45,74
64,65,76,36,52,33,55,19,35,28,30,92,77,42,25,60,80,86,20,50,95,88,73,29,10,45,0,64
0,90,90,24,15,18,76,45,12,46,21,11,64,41,77,96,28,21,14,99,89,45,85,61,33,74,64,0
