87
0,1,1,3,3,3,2,3,2,2,1,4,1,4,3,4,1,3,1,3,3,1,1,2,2,3,4,2,2,4,2,1,1,1,2,4,1,1,2,3,3,2,3,1,3,1,2,4,1,3,2,1,2,2,1,2,2,2,3,3,4,4,2,2,2,1,3,3,2,2,3,4,3,1,3,1,1,2,4,3,3,2,3,4,3,2,3,2,0
0,54,15,32,53,76,61,63,58,31,43,13,60,95,35,37,26,34,90,94,44,35,43,82,19,58,54,60,72,100,86,43,85,17,23,87,84,20,11,99,23,51,35,57,16,35,18,90,29,63,62,77,88,72,66,37,78,19,32,55,14,58,29,80,25,22,37,83,44,74,89,86,46,54,99,79,43,50,48,100,60,24,30,27,67,68,94,53,0
54,0,26,30,58,46,82,14,22,69,80,43,17,99,39,76,56,86,68,15,93,42,57,52,82,90,75,38,44,49,25,14,73,38,94,43,37,59,24,43,66,60,98,37,56,22,33,67,76,34,51,64,20,94,92,45,21,70,34,35,72,77,51,98,58,85,10,31,80,77,85,55,23,34,30,31,94,35,62,73,31,72,89,60,78,85,35,85,54
15,26,0,40,49,76,36,69,73,76,95,19,45,84,37,15,86,92,20,68,91,35,95,11,67,88,61,58,20,36,89,98,68,74,76,82,94,48,41,74,73,22,55,20,26,56,30,99,49,32,49,51,59,75,82,63,74,47,68,90,22,79,27,20,97,96,22,16,80,53,79,22,16,95,79,19,21,42,77,85,86,56,54,34,54,79,22,29,15
32,30,40,0,41,40,14,43,23,50,80,98,83,20,20,79,41,21,36,90,73,57,100,88,69,43,63,10,48,35,17,23,49,81,67,80,65,75,39,59,22,12,34,85,27,54,80,80,96,68,57,89,40,38,90,75,68,40,19,49,69,30,96,80,34,82,46,63,18,63,54,25,25,66,85,21,40,35,91,60,33,52,25,89,59,22,39,38,32
53,58,49,41,0,16,45,35,98,45,32,94,98,74,42,63,18,19,51,35,83,11,97,63,12,78,65,14,59,68,96,22,52,33,44,30,86,57,15,92,98,10,11,91,78,80,39,66,91,94,57,37,43,31,42,39,29,61,45,68,35,60,16,94,39,100,42,39,14,94,15,50,100,39,17,32,31,23,29,30,75,94,67,33,20,94,49,75,53
76,46,76,40,16,0,45,43,33,64,17,17,40,20,28,97,41,48,79,72,20,88,12,71,67,82,30,38,54,88,89,29,11,62,61,98,27,90,88,18,85,17,36,28,37,44,95,99,38,12,38,75,73,48,75,96,17,84,95,57,35,11,52,14,72,10,62,46,62,60,56,11,25,52,61,64,92,54,68,34,72,49,95,84,30,29,58,31,76
61,82,36,14,45,45,0,37,73,49,34,98,49,10,58,47,37,77,67,10,33,69,97,18,84,49,71,39,57,67,27,21,96,26,14,19,30,52,56,28,98,84,77,69,100,55,14,33,78,69,29,49,38,37,71,76,22,39,71,75,28,29,18,71,18,38,54,72,28,55,89,87,39,18,55,10,25,10,55,92,74,27,34,16,49,32,69,74,61
63,14,69,43,35,43,37,0,98,58,15,51,16,30,77,33,82,100,95,44,38,86,48,61,36,57,50,11,20,97,76,96,52,21,80,54,92,83,84,19,51,53,37,98,31,20,19,52,10,54,30,22,22,34,22,64,85,61,28,41,50,80,35,40,78,88,89,90,80,56,63,91,60,98,99,58,63,89,92,73,93,50,77,96,60,21,49,14,63
58,22,73,23,98,33,73,98,0,32,65,34,80,71,13,85,75,96,64,42,32,92,65,63,34,69,22,62,41,41,96,42,58,10,48,15,53,26,63,80,57,41,17,42,89,67,71,99,21,35,13,28,76,72,23,60,38,99,94,100,56,29,22,51,95,23,21,60,35,38,84,22,79,98,83,58,18,81,59,77,20,90,86,40,77,77,94,11,58
31,69,76,50,45,64,49,58,32,0,32,91,53,61,40,60,46,62,28,57,65,77,26,41,86,85,80,41,98,49,87,66,79,90,26,51,18,80,34,94,26,13,82,72,90,76,75,72,67,59,17,49,56,98,62,24,43,95,71,33,85,22,44,33,43,55,17,78,14,47,37,77,68,59,43,17,96,51,13,48,51,94,45,74,74,23,28,24,31
43,80,95,80,32,17,34,15,65,32,0,77,58,81,52,99,81,92,37,68,40,32,37,88,80,11,53,37,70,11,11,76,50,34,96,93,77,31,25,79,79,80,16,26,45,45,81,52,97,17,24,77,13,11,50,61,85,39,78,81,14,99,39,41,56,23,78,15,75,38,99,82,94,57,49,95,27,37,32,64,56,98,55,13,13,73,40,66,43
13,43,19,98,94,17,98,51,34,91,77,0,73,91,53,49,98,97,46,63,82,41,66,94,42,17,11,77,96,64,21,18,74,58,82,16,66,66,57,95,22,58,77,50,40,30,53,16,72,98,15,50,50,88,77,58,70,53,99,51,67,20,56,58,80,48,11,35,18,84,55,38,73,67,92,77,26,93,37,13,58,58,98,47,75,15,66,27,13
60,17,45,83,98,40,49,16,80,53,58,73,0,17,83,76,42,99,18,61,21,52,97,13,94,98,91,26,71,16,80,71,27,93,39,26,32,85,54,86,52,54,19,84,84,21,25,42,98,92,89,19,80,20,19,83,18,42,38,74,27,45,52,98,81,30,46,89,25,61,23,93,82,72,40,67,16,61,65,30,19,89,28,24,24,35,86,46,60
