20
0,3,4,1,2,3,2,3,2,2,2,2,4,3,4,3,4,4,3,4,3,0
0,14,45,23,12,82,48,84,54,47,14,10,17,48,83,62,72,18,45,18,55,0
14,0,29,62,88,41,97,18,41,63,14,85,91,24,54,16,13,44,31,56,19,14
45,29,0,80,89,89,78,88,39,12,87,87,78,19,15,19,27,12,49,13,74,45
23,62,80,0,64,12,88,60,68,82,23,58,38,17,58,43,59,49,22,29,75,23
12,88,89,64,0,34,22,76,64,28,68,99,87,52,70,18,32,80,41,31,54,12
82,41,89,12,34,0,48,33,10,20,49,90,16,40,74,58,37,21,28,42,38,82
48,97,78,88,22,48,0,95,72,24,90,29,63,60,25,64,60,37,18,80,57,48
84,18,88,60,76,33,95,0,32,96,91,38,90,54,63,83,34,33,32,77,25,84
54,41,39,68,64,10,72,32,0,48,85,60,75,99,57,38,84,80,14,97,52,54
47,63,12,82,28,20,24,96,48,0,27,79,80,68,37,16,96,26,86,29,11,47
14,14,87,23,68,49,90,91,85,27,0,22,91,65,53,29,73,66,51,16,17,14
10,85,87,58,99,90,29,38,60,79,22,0,84,65,50,32,60,34,55,85,13,10
17,91,78,38,87,16,63,90,75,80,91,84,0,87,53,95,11,53,70,23,19,17
48,24,19,17,52,40,60,54,99,68,65,65,87,0,70,23,10,53,12,65,17,48
83,54,15,58,70,74,25,63,57,37,53,50,53,70,0,85,17,94,99,46,81,83
62,16,19,43,18,58,64,83,38,16,29,32,95,23,85,0,34,28,83,54,86,62
72,13,27,59,32,37,60,34,84,96,73,60,11,10,17,34,0,75,50,83,60,72
18,44,12,49,80,21,37,33,80,26,66,34,53,53,94,28,75,0,78,80,21,18
45,31,49,22,41,28,18,32,14,86,51,55,70,12,99,83,50,78,0,14,95,45
18,56,13,29,31,42,80,77,97,29,16,85,23,65,46,54,83,80,14,0,89,18
55,19,74,75,54,38,57,25,52,11,17,13,19,17,81,86,60,21,95,89,0,55
0,14,45,23,12,82,48,84,54,47,14,10,17,48,83,62,72,18,45,18,55,0
