79
0,3,3,3,3,1,4,4,2,4,4,2,4,2,3,1,4,2,2,2,2,4,1,2,3,3,4,4,4,3,1,3,1,1,1,3,2,4,4,2,4,4,2,2,1,3,3,1,3,1,1,3,1,4,3,2,1,2,2,1,1,1,1,4,2,3,3,2,4,1,1,4,4,4,4,3,2,4,4,4,0
0,24,82,10,52,14,18,47,37,26,21,74,45,19,93,77,32,39,82,12,44,43,49,56,76,25,60,69,77,57,69,41,45,44,42,36,84,94,91,12,62,53,15,96,32,50,75,55,71,39,94,55,77,88,64,93,64,10,33,39,53,72,99,24,70,59,16,85,17,42,36,70,40,92,35,42,49,46,59,36,0
24,0,40,96,21,73,15,71,92,71,47,55,21,52,46,75,86,70,10,88,80,100,61,91,15,71,40,36,34,63,82,79,71,62,53,78,10,66,88,91,44,58,63,62,50,74,89,11,34,84,91,10,88,50,65,30,11,39,82,65,34,54,57,94,43,20,40,19,65,30,57,21,20,34,96,68,93,55,99,18,24
82,40,0,41,90,79,89,30,99,12,57,28,44,51,74,18,49,70,12,99,19,10,28,30,87,77,46,47,75,54,75,73,65,81,45,59,24,100,80,65,76,48,85,67,15,20,99,18,86,57,40,71,94,83,13,23,90,54,83,52,67,21,69,34,40,54,28,77,99,62,74,27,13,73,39,28,24,10,85,97,82
10,96,41,0,91,90,48,94,79,30,72,64,62,57,41,39,74,15,86,89,69,63,41,32,82,24,47,30,39,91,98,95,26,97,42,23,69,26,34,85,91,37,83,73,62,69,15,33,21,93,22,31,96,96,44,41,86,12,40,61,23,11,35,90,99,89,26,46,78,31,91,62,58,82,62,79,13,88,32,82,10
52,21,90,91,0,85,21,47,26,33,43,13,63,14,22,91,33,72,12,14,68,60,29,59,12,13,38,34,71,31,78,27,34,61,90,47,83,12,75,31,47,31,14,17,42,82,11,67,15,64,50,23,48,77,45,76,24,98,17,25,67,97,84,86,87,70,93,69,29,60,84,45,23,45,71,21,75,82,55,96,52
14,73,79,90,85,0,25,67,86,23,53,37,47,65,30,51,20,81,83,12,35,23,27,67,52,83,99,13,85,29,37,71,42,54,13,24,29,41,46,67,31,23,72,66,52,50,73,43,28,74,73,75,39,34,30,67,95,61,64,48,74,61,86,100,77,81,71,19,30,56,96,40,91,51,31,49,57,72,53,74,14
18,15,89,48,21,25,0,63,26,78,25,85,94,47,64,24,100,82,64,16,74,29,73,27,89,48,36,17,42,36,20,14,90,70,90,18,20,81,10,74,42,62,15,25,42,85,91,58,37,82,88,60,94,33,83,65,42,54,77,55,64,21,89,83,63,83,88,73,35,20,27,84,59,13,21,29,98,90,64,89,18
47,71,30,94,47,67,63,0,26,60,48,17,74,51,92,99,93,55,90,21,30,74,80,34,14,26,59,24,95,65,11,41,99,40,45,92,23,56,46,63,97,42,23,94,14,85,28,58,93,87,44,23,42,47,45,84,28,23,67,31,97,49,25,98,40,35,70,89,82,27,46,51,93,62,91,29,56,13,49,33,47
37,92,99,79,26,86,26,26,0,93,45,53,82,26,88,25,48,86,56,44,86,94,12,54,99,61,91,27,78,76,92,31,84,12,71,55,22,63,50,45,24,98,98,75,44,34,40,93,35,49,96,69,66,44,10,82,61,57,83,61,31,54,93,95,40,88,71,92,99,37,95,37,79,68,84,94,63,98,90,37,37
