27
0,2,2,1,1,2,2,3,4,4,3,2,3,4,4,1,4,4,1,1,2,1,2,2,4,1,2,2,0
0,63,60,72,75,61,31,17,57,71,68,12,37,26,32,47,25,12,16,71,13,18,18,38,100,74,81,41,0
63,0,28,12,33,97,96,70,14,78,24,73,73,83,39,41,80,50,53,99,77,88,44,88,43,15,40,27,63
60,28,0,71,75,64,47,95,95,100,26,67,54,98,18,53,79,38,82,12,48,86,81,54,64,93,38,17,60
72,12,71,0,81,40,71,25,77,66,44,29,21,40,82,18,29,84,18,61,85,29,49,10,66,47,31,36,72
75,33,75,81,0,49,84,17,45,39,17,35,11,48,75,92,40,83,18,62,69,30,94,47,78,39,76,81,75
61,97,64,40,49,0,23,35,44,13,19,34,38,34,69,24,76,67,24,88,12,41,97,30,34,44,78,40,61
31,96,47,71,84,23,0,15,32,41,18,93,32,97,92,82,45,38,91,51,47,14,32,30,95,98,97,96,31
17,70,95,25,17,35,15,0,11,18,38,40,27,55,85,68,82,54,71,21,72,54,30,41,40,53,66,17,17
57,14,95,77,45,44,32,11,0,75,62,33,19,49,96,51,50,13,35,78,62,30,65,13,35,74,29,35,57
71,78,100,66,39,13,41,18,75,0,37,82,74,80,85,42,67,64,22,72,77,13,52,56,34,56,74,74,71
68,24,26,44,17,19,18,38,62,37,0,61,52,86,92,97,41,74,70,49,29,13,95,29,74,98,77,58,68
12,73,67,29,35,34,93,40,33,82,61,0,41,34,68,74,87,50,50,67,100,38,18,35,41,93,55,25,12
37,73,54,21,11,38,32,27,19,74,52,41,0,40,100,59,80,38,20,37,46,92,69,85,95,73,52,21,37
26,83,98,40,48,34,97,55,49,80,86,34,40,0,31,52,28,13,11,21,73,66,53,56,82,56,20,79,26
32,39,18,82,75,69,92,85,96,85,92,68,100,31,0,54,42,38,78,82,98,60,80,31,56,99,93,55,32
47,41,53,18,92,24,82,68,51,42,97,74,59,52,54,0,67,90,47,77,82,52,13,42,79,67,97,76,47
25,80,79,29,40,76,45,82,50,67,41,87,80,28,42,67,0,43,93,88,100,12,47,34,77,48,75,40,25
12,50,38,84,83,67,38,54,13,64,74,50,38,13,38,90,43,0,75,85,67,82,25,25,48,51,76,23,12
16,53,82,18,18,24,91,71,35,22,70,50,20,11,78,47,93,75,0,85,76,59,44,18,71,79,54,70,16
71,99,12,61,62,88,51,21,78,72,49,67,37,21,82,77,88,85,85,0,100,15,76,32,31,34,100,58,71
13,77,48,85,69,12,47,72,62,77,29,100,46,73,98,82,100,67,76,100,0,53,11,34,88,55,38,22,13
18,88,86,29,30,41,14,54,30,13,13,38,92,66,60,52,12,82,59,15,53,0,56,77,62,63,74,28,18
18,44,81,49,94,97,32,30,65,52,95,18,69,53,80,13,47,25,44,76,11,56,0,19,30,52,56,77,18
38,88,54,10,47,30,30,41,13,56,29,35,85,56,31,42,34,25,18,32,34,77,19,0,34,75,39,41,38
100,43,64,66,78,34,95,40,35,34,74,41,95,82,56,79,77,48,71,31,88,62,30,34,0,31,55,80,100
74,15,93,47,39,44,98,53,74,56,98,93,73,56,99,67,48,51,79,34,55,63,52,75,31,0,61,40,74
81,40,38,31,76,78,97,66,29,74,77,55,52,20,93,97,75,76,54,100,38,74,56,39,55,61,0,63,81
41,27,17,36,81,40,96,17,35,74,58,25,21,79,55,76,40,23,70,58,22,28,77,41,80,40,63,0,41
0,63,60,72,75,61,31,17,57,71,68,12,37,26,32,47,25,12,16,71,13,18,18,38,100,74,81,41,0
