69
0,1,2,3,1,2,2,2,2,4,1,1,3,2,2,1,3,3,2,1,2,4,4,2,4,1,2,1,2,1,3,1,2,2,1,1,3,3,4,1,3,2,1,1,2,4,4,1,4,2,1,2,2,3,2,4,3,2,2,2,3,1,1,3,4,3,4,3,1,2,0
0,45,16,16,68,77,92,89,43,67,77,66,25,98,60,22,93,44,30,84,77,44,12,49,100,61,36,49,40,34,67,12,64,77,79,69,62,25,51,50,42,33,89,75,95,92,17,51,76,67,49,91,100,86,80,55,77,86,32,72,74,97,28,69,68,13,42,13,33,60,0
45,0,18,36,92,54,32,51,24,83,66,53,29,100,38,31,78,74,71,72,36,63,17,47,83,80,32,79,33,65,87,23,73,32,79,97,67,40,77,24,33,84,11,77,57,42,14,57,93,49,26,24,34,33,33,85,11,56,82,45,76,78,93,43,61,66,96,83,18,54,45
16,18,0,38,87,72,48,73,86,78,88,58,58,53,83,58,19,66,49,48,61,72,76,60,100,90,78,31,20,11,24,17,14,16,48,37,85,40,15,68,63,39,74,21,14,53,86,80,21,99,25,98,24,63,60,14,82,53,85,47,80,43,65,79,78,81,62,24,45,15,16
16,36,38,0,75,36,37,27,63,49,29,50,18,29,32,78,66,42,39,13,89,92,40,13,10,78,22,26,38,35,77,89,99,10,80,54,38,71,98,14,63,65,34,83,34,73,60,37,68,12,55,77,100,92,11,59,82,79,43,20,70,89,29,52,15,57,33,50,61,71,16
68,92,87,75,0,46,48,68,87,77,12,10,70,10,46,17,89,92,99,64,48,43,76,56,25,73,12,82,67,87,29,60,80,81,55,85,21,85,37,30,10,51,69,100,100,59,97,96,10,68,93,50,63,73,27,26,41,13,35,15,38,25,92,79,44,27,70,70,69,20,68
77,54,72,36,46,0,24,52,98,21,77,62,75,97,93,15,28,61,38,68,51,21,22,40,60,20,38,40,75,87,68,64,28,22,22,98,99,57,30,56,22,75,86,73,90,26,57,23,45,63,81,71,82,77,18,26,18,76,68,20,96,47,70,19,36,30,78,63,11,15,77
92,32,48,37,48,24,0,24,40,32,35,52,52,53,81,37,21,75,49,59,28,46,44,55,46,45,23,22,88,73,27,11,37,92,12,77,80,30,96,21,42,74,81,85,25,51,51,81,74,31,85,39,85,74,72,29,79,31,21,23,53,45,27,84,33,34,65,89,68,89,92
89,51,73,27,68,52,24,0,23,63,61,51,11,33,83,94,21,16,71,87,41,86,69,15,15,17,13,38,29,23,57,51,74,97,83,78,34,94,91,29,40,26,53,93,54,37,43,25,40,25,52,61,16,32,60,80,45,22,79,83,54,23,78,42,19,26,25,46,63,74,89
43,24,86,63,87,98,40,23,0,70,11,27,69,19,39,60,70,16,33,36,18,44,35,25,75,80,77,16,18,10,98,53,36,21,63,83,57,76,89,81,64,84,52,39,69,81,76,20,42,83,55,19,86,48,97,61,11,79,88,75,28,77,70,11,50,27,78,41,99,21,43
67,83,78,49,77,21,32,63,70,0,75,31,28,97,53,99,96,22,97,33,84,27,16,71,93,12,68,60,72,28,47,42,42,52,31,68,58,32,32,16,22,35,17,11,19,52,77,49,30,65,78,79,70,92,86,37,68,64,57,43,59,65,22,75,36,66,70,57,25,35,67
77,66,88,29,12,77,35,61,11,75,0,56,39,95,99,21,35,71,54,27,47,12,89,40,71,45,47,16,90,24,41,78,66,21,59,35,56,66,15,63,49,35,68,29,89,35,12,76,65,56,46,41,33,27,58,74,32,89,92,73,98,11,47,62,98,52,10,25,82,77,77
66,53,58,50,10,62,52,51,27,31,56,0,47,91,17,44,48,55,38,88,87,35,88,37,43,54,98,90,85,61,86,99,77,81,35,76,77,44,10,100,68,16,75,40,23,98,99,26,36,82,71,41,37,58,28,20,19,38,21,49,17,67,93,41,47,37,84,46,21,25,66
25,29,58,18,70,75,52,11,69,28,39,47,0,89,95,40,35,98,47,20,35,90,38,41,58,48,74,47,48,59,64,58,69,81,93,85,64,100,20,24,57,85,41,31,100,30,54,80,95,88,99,55,84,70,97,81,33,83,100,86,56,27,15,45,83,25,14,25,81,32,25
98,100,53,29,10,97,53,33,19,97,95,91,89,0,45,67,32,71,30,16,90,48,26,24,37,91,88,16,65,35,14,78,74,10,50,88,77,19,54,37,77,98,95,11,89,61,72,57,91,47,36,18,93,15,59,34,94,70,32,89,35,100,39,87,99,21,21,97,31,22,98
60,38,83,32,46,93,81,83,39,53,99,17,95,45,0,67,96,43,41,55,68,72,55,23,100,53,45,12,67,90,11,81,32,76,26,40,40,45,49,73,15,98,92,43,95,85,80,85,85,56,99,14,11,22,62,57,18,31,32,73,25,19,11,40,27,63,21,91,52,46,60
22,31,58,78,17,15,37,94,60,99,21,44,40,67,67,0,92,21,49,58,26,13,80,78,12,20,84,12,55,95,97,50,66,29,11,79,72,18,56,23,61,51,44,62,72,64,11,98,11,85,69,12,62,33,61,41,61,52,61,94,30,28,72,91,91,99,88,65,13,59,22
93,78,19,66,89,28,21,21,70,96,35,48,35,32,96,92,0,37,72,88,79,36,68,83,86,35,67,23,58,79,58,66,80,29,22,48,67,18,19,93,63,75,82,74,22,39,44,86,89,38,85,42,52,58,49,25,87,14,62,92,100,50,25,89,35,95,93,10,75,68,93
