14
0,3,1,4,4,4,1,1,2,2,3,3,2,4,1,0
0,65,79,89,21,12,62,35,73,33,93,87,97,79,50,0
65,0,45,17,12,44,35,39,55,20,23,25,67,50,16,65
79,45,0,63,51,99,56,16,89,69,80,30,97,45,36,79
89,17,63,0,55,73,77,58,62,59,23,63,100,100,75,89
21,12,51,55,0,19,82,60,61,69,10,31,77,92,50,21
12,44,99,73,19,0,97,10,63,61,39,83,89,32,89,12
62,35,56,77,82,97,0,88,98,68,61,16,45,39,29,62
35,39,16,58,60,10,88,0,16,93,28,67,56,54,95,35
73,55,89,62,61,63,98,16,0,98,81,10,32,20,24,73
33,20,69,59,69,61,68,93,98,0,20,72,78,68,67,33
93,23,80,23,10,39,61,28,81,20,0,85,73,17,60,93
87,25,30,63,31,83,16,67,10,72,85,0,61,33,67,87
97,67,97,100,77,89,45,56,32,78,73,61,0,71,37,97
79,50,45,100,92,32,39,54,20,68,17,33,71,0,51,79
50,16,36,75,50,89,29,95,24,67,60,67,37,51,0,50
0,65,79,89,21,12,62,35,73,33,93,87,97,79,50,0
