53
0,1,4,3,1,3,4,3,1,2,1,3,4,1,3,3,3,4,1,2,2,4,3,1,3,1,3,3,3,3,1,1,1,2,4,2,1,3,1,3,3,4,2,2,1,3,2,3,3,1,4,3,3,3,0
0,26,75,54,80,67,96,83,60,76,37,48,47,21,37,30,80,49,55,85,74,32,71,35,98,14,49,91,17,97,57,87,55,27,74,55,14,82,51,67,94,11,37,80,84,22,10,90,43,75,36,52,24,69,0
26,0,64,12,41,58,95,80,49,47,43,75,51,68,100,48,71,74,20,23,88,59,76,91,33,42,91,69,10,69,36,88,24,86,88,57,63,51,47,63,30,66,42,73,13,36,68,82,80,71,89,91,50,97,26
75,64,0,67,90,19,33,27,72,80,36,49,62,83,38,96,74,66,24,39,48,83,67,52,45,80,14,41,66,66,49,98,21,16,47,56,73,58,21,85,14,26,18,94,56,47,16,37,39,15,28,27,59,36,75
54,12,67,0,86,60,74,16,64,82,74,22,76,15,62,30,15,51,42,24,24,33,27,99,31,54,35,43,90,23,68,53,28,32,13,34,19,90,64,70,18,22,32,32,25,33,27,34,65,28,76,15,32,59,54
80,41,90,86,0,96,44,23,45,65,26,100,28,57,15,11,38,84,50,48,65,70,29,89,77,75,14,10,65,89,25,25,96,56,81,53,49,81,13,29,26,44,14,58,83,90,30,56,36,27,50,61,22,87,80
67,58,19,60,96,0,99,73,11,60,36,90,37,11,14,55,33,56,12,19,32,22,21,37,22,87,44,78,22,15,43,33,46,40,35,61,75,22,33,13,98,93,59,80,67,65,68,48,57,20,85,77,37,41,67
96,95,33,74,44,99,0,73,61,75,30,75,27,67,98,45,42,43,24,92,39,92,42,31,10,23,44,88,51,87,58,97,89,43,89,94,94,88,44,12,98,32,30,78,73,48,36,55,83,55,97,94,66,78,96
83,80,27,16,23,73,73,0,46,21,24,15,99,61,40,45,17,45,89,26,80,32,87,100,96,15,20,54,69,15,60,15,29,80,51,97,95,41,63,88,82,85,80,46,58,75,99,13,60,28,84,34,59,32,83
60,49,72,64,45,11,61,46,0,43,91,86,19,84,99,41,90,94,96,45,78,93,61,15,62,31,71,32,58,80,91,84,24,69,49,35,28,33,89,85,10,91,43,16,60,98,30,19,26,49,87,34,86,52,60
76,47,80,82,65,60,75,21,43,0,78,38,14,48,94,50,74,24,13,19,70,14,88,13,54,91,97,100,80,42,79,60,85,92,73,12,79,93,30,63,45,22,18,50,22,68,48,92,46,90,31,52,36,80,76
37,43,36,74,26,36,30,24,91,78,0,66,12,30,36,48,30,28,37,70,100,44,52,53,82,97,95,37,48,64,24,26,71,38,92,31,73,55,81,12,91,49,24,28,17,48,85,45,29,17,26,66,42,98,37
48,75,49,22,100,90,75,15,86,38,66,0,77,45,96,16,94,10,92,33,71,54,19,83,98,49,56,45,67,24,36,19,43,76,89,60,34,37,70,19,80,17,61,31,97,21,56,11,30,48,53,53,83,43,48
47,51,62,76,28,37,27,99,19,14,12,77,0,64,43,57,66,83,71,11,60,39,99,71,83,19,95,41,75,62,45,24,95,14,81,14,22,19,51,92,31,34,96,98,81,91,43,14,42,16,100,44,84,90,47
21,68,83,15,57,11,67,61,84,48,30,45,64,0,52,37,87,56,58,44,76,78,63,44,12,23,34,64,13,31,71,54,70,19,56,71,39,38,74,22,93,33,99,77,97,69,58,47,56,100,95,89,67,33,21
37,100,38,62,15,14,98,40,99,94,36,96,43,52,0,32,43,89,79,61,55,80,87,68,39,39,39,100,66,38,15,35,62,11,99,25,48,48,18,20,40,96,31,19,67,35,35,42,90,83,76,99,61,84,37
30,48,96,30,11,55,45,45,41,50,48,16,57,37,32,0,29,85,43,10,10,46,93,72,56,54,83,22,46,34,41,23,82,29,71,31,36,10,81,82,97,64,56,72,41,28,48,82,43,88,35,66,39,42,30
80,71,74,15,38,33,42,17,90,74,30,94,66,87,43,29,0,72,70,41,97,36,47,81,92,67,47,61,53,75,70,26,67,91,33,37,44,57,70,87,46,72,92,80,37,68,30,93,86,66,43,60,85,40,80
49,74,66,51,84,56,43,45,94,24,28,10,83,56,89,85,72,0,100,46,98,34,99,49,41,68,17,11,89,60,13,18,31,90,91,80,78,12,73,78,31,16,40,83,43,29,40,88,52,59,77,18,17,23,49
