11
0,3,3,2,4,3,4,2,2,2,3,4,0
0,49,52,18,45,68,95,41,59,83,38,39,0
49,0,51,74,56,69,50,10,13,49,98,87,49
52,51,0,23,46,12,54,90,32,82,93,66,52
18,74,23,0,76,14,74,92,34,99,64,92,18
45,56,46,76,0,43,71,89,60,59,75,13,45
68,69,12,14,43,0,32,16,25,71,79,11,68
95,50,54,74,71,32,0,66,47,66,61,36,95
41,10,90,92,89,16,66,0,88,81,35,21,41
59,13,32,34,60,25,47,88,0,94,69,70,59
83,49,82,99,59,71,66,81,94,0,92,21,83
38,98,93,64,75,79,61,35,69,92,0,41,38
39,87,66,92,13,11,36,21,70,21,41,0,39
0,49,52,18,45,68,95,41,59,83,38,39,0
