18
0,3,2,4,4,3,1,2,2,4,3,1,2,3,4,3,1,4,1,0
0,17,99,37,45,88,88,55,52,24,69,38,89,99,85,56,49,87,48,0
17,0,49,70,71,30,52,90,87,45,73,91,37,95,19,15,73,59,18,17
99,49,0,51,57,18,82,27,95,46,44,93,98,17,29,90,95,38,22,99
37,70,51,0,66,30,96,67,40,12,14,29,85,84,71,95,97,19,59,37
45,71,57,66,0,54,84,48,10,87,20,52,97,34,92,48,58,76,56,45
88,30,18,30,54,0,86,21,93,64,65,26,23,55,74,78,64,59,31,88
88,52,82,96,84,86,0,23,79,60,60,58,35,39,71,30,50,98,31,88
55,90,27,67,48,21,23,0,68,83,14,86,60,37,40,54,34,47,76,55
52,87,95,40,10,93,79,68,0,74,49,60,13,19,23,82,16,95,86,52
24,45,46,12,87,64,60,83,74,0,95,90,74,64,65,64,25,41,26,24
69,73,44,14,20,65,60,14,49,95,0,14,69,33,98,69,98,14,75,69
38,91,93,29,52,26,58,86,60,90,14,0,94,28,42,92,76,24,82,38
89,37,98,85,97,23,35,60,13,74,69,94,0,89,40,16,20,85,73,89
99,95,17,84,34,55,39,37,19,64,33,28,89,0,74,34,42,50,36,99
85,19,29,71,92,74,71,40,23,65,98,42,40,74,0,50,18,52,27,85
56,15,90,95,48,78,30,54,82,64,69,92,16,34,50,0,27,26,74,56
49,73,95,97,58,64,50,34,16,25,98,76,20,42,18,27,0,52,53,49
87,59,38,19,76,59,98,47,95,41,14,24,85,50,52,26,52,0,14,87
48,18,22,59,56,31,31,76,86,26,75,82,73,36,27,74,53,14,0,48
0,17,99,37,45,88,88,55,52,24,69,38,89,99,85,56,49,87,48,0
