26
0,3,3,2,4,4,1,4,2,1,4,3,2,1,2,1,4,4,2,2,1,3,3,1,3,4,3,0
0,73,66,99,79,23,24,43,45,58,59,99,29,15,86,41,46,82,21,88,56,60,81,96,55,100,74,0
73,0,80,99,54,94,88,93,67,41,76,77,68,29,88,28,12,31,42,57,44,92,54,91,49,58,30,73
66,80,0,21,87,100,87,82,22,47,71,65,95,13,42,44,54,45,57,15,39,39,79,67,51,79,34,66
99,99,21,0,42,74,61,20,32,93,52,69,94,73,23,80,22,49,66,47,71,54,11,76,88,39,35,99
79,54,87,42,0,43,93,38,56,34,53,92,94,92,21,74,15,38,95,75,49,21,74,64,62,27,80,79
23,94,100,74,43,0,95,16,67,98,89,75,41,19,17,28,80,25,29,72,60,47,98,47,62,17,71,23
24,88,87,61,93,95,0,40,11,55,29,20,47,27,74,98,53,26,98,48,59,69,54,99,29,85,23,24
43,93,82,20,38,16,40,0,74,96,10,85,88,95,66,98,53,49,29,80,81,77,59,35,85,13,85,43
45,67,22,32,56,67,11,74,0,20,30,56,24,92,36,21,90,34,49,77,97,69,83,81,78,79,75,45
58,41,47,93,34,98,55,96,20,0,11,37,62,25,53,62,40,95,78,77,17,96,68,79,38,12,24,58
59,76,71,52,53,89,29,10,30,11,0,58,81,34,41,12,100,51,81,97,57,97,85,45,17,14,16,59
99,77,65,69,92,75,20,85,56,37,58,0,38,68,40,55,66,40,96,70,47,53,27,69,48,19,61,99
29,68,95,94,94,41,47,88,24,62,81,38,0,23,79,68,83,27,89,36,73,99,70,63,45,57,89,29
15,29,13,73,92,19,27,95,92,25,34,68,23,0,38,68,65,32,15,58,56,69,15,52,89,26,34,15
86,88,42,23,21,17,74,66,36,53,41,40,79,38,0,21,79,95,25,64,81,27,59,13,60,97,69,86
41,28,44,80,74,28,98,98,21,62,12,55,68,68,21,0,72,70,90,58,42,100,89,37,16,60,10,41
46,12,54,22,15,80,53,53,90,40,100,66,83,65,79,72,0,62,21,34,56,88,64,71,100,41,45,46
82,31,45,49,38,25,26,49,34,95,51,40,27,32,95,70,62,0,23,90,91,49,81,52,81,69,68,82
21,42,57,66,95,29,98,29,49,78,81,96,89,15,25,90,21,23,0,81,20,79,79,42,47,36,12,21
88,57,15,47,75,72,48,80,77,77,97,70,36,58,64,58,34,90,81,0,78,25,27,68,61,50,86,88
56,44,39,71,49,60,59,81,97,17,57,47,73,56,81,42,56,91,20,78,0,30,85,69,20,25,58,56
60,92,39,54,21,47,69,77,69,96,97,53,99,69,27,100,88,49,79,25,30,0,17,58,15,63,13,60
81,54,79,11,74,98,54,59,83,68,85,27,70,15,59,89,64,81,79,27,85,17,0,87,93,17,63,81
96,91,67,76,64,47,99,35,81,79,45,69,63,52,13,37,71,52,42,68,69,58,87,0,61,65,85,96
55,49,51,88,62,62,29,85,78,38,17,48,45,89,60,16,100,81,47,61,20,15,93,61,0,16,30,55
100,58,79,39,27,17,85,13,79,12,14,19,57,26,97,60,41,69,36,50,25,63,17,65,16,0,91,100
74,30,34,35,80,71,23,85,75,24,16,61,89,34,69,10,45,68,12,86,58,13,63,85,30,91,0,74
0,73,66,99,79,23,24,43,45,58,59,99,29,15,86,41,46,82,21,88,56,60,81,96,55,100,74,0
