16
0,4,1,1,1,3,3,4,4,3,2,2,3,3,3,2,4,0
0,35,60,71,64,12,87,60,43,42,95,97,13,99,25,37,65,0
35,0,48,98,15,60,58,87,91,27,28,41,47,74,13,19,79,35
60,48,0,68,59,38,75,17,44,62,93,44,100,75,10,58,35,60
71,98,68,0,47,36,34,36,92,58,66,89,70,31,84,100,10,71
64,15,59,47,0,77,63,22,86,78,60,84,81,98,58,82,98,64
12,60,38,36,77,0,20,52,39,76,15,29,60,37,44,41,81,12
87,58,75,34,63,20,0,23,58,42,63,98,20,88,61,55,65,87
60,87,17,36,22,52,23,0,70,12,99,47,95,41,79,22,99,60
43,91,44,92,86,39,58,70,0,91,32,65,66,23,34,62,38,43
42,27,62,58,78,76,42,12,91,0,53,33,45,67,53,14,87,42
95,28,93,66,60,15,63,99,32,53,0,77,29,62,75,28,40,95
97,41,44,89,84,29,98,47,65,33,77,0,81,31,52,33,82,97
13,47,100,70,81,60,20,95,66,45,29,81,0,75,41,52,71,13
99,74,75,31,98,37,88,41,23,67,62,31,75,0,24,96,48,99
25,13,10,84,58,44,61,79,34,53,75,52,41,24,0,61,68,25
37,19,58,100,82,41,55,22,62,14,28,33,52,96,61,0,35,37
65,79,35,10,98,81,65,99,38,87,40,82,71,48,68,35,0,65
0,35,60,71,64,12,87,60,43,42,95,97,13,99,25,37,65,0
