19
0,2,1,1,3,4,4,1,4,4,3,2,3,2,1,4,3,3,1,2,0
0,34,14,77,54,68,15,77,79,72,98,77,72,96,74,13,67,73,100,12,0
34,0,41,100,38,55,37,36,41,88,76,99,22,35,82,56,78,75,94,80,34
14,41,0,67,77,24,32,33,88,51,90,52,49,33,59,43,59,72,54,50,14
77,100,67,0,66,23,98,72,50,90,28,11,16,51,32,60,97,64,73,36,77
54,38,77,66,0,89,59,24,58,90,42,83,61,87,44,78,65,98,37,86,54
68,55,24,23,89,0,59,74,56,89,11,41,15,68,12,72,53,31,66,86,68
15,37,32,98,59,59,0,36,29,41,93,59,79,58,35,96,65,32,31,24,15
77,36,33,72,24,74,36,0,74,54,89,61,86,16,77,12,96,65,26,33,77
79,41,88,50,58,56,29,74,0,77,48,87,36,100,45,28,54,27,14,91,79
72,88,51,90,90,89,41,54,77,0,15,78,42,20,61,58,54,11,98,35,72
98,76,90,28,42,11,93,89,48,15,0,46,90,22,26,54,16,60,83,87,98
77,99,52,11,83,41,59,61,87,78,46,0,19,64,67,98,18,95,81,57,77
72,22,49,16,61,15,79,86,36,42,90,19,0,66,44,68,19,76,99,85,72
96,35,33,51,87,68,58,16,100,20,22,64,66,0,15,71,45,30,24,50,96
74,82,59,32,44,12,35,77,45,61,26,67,44,15,0,49,61,94,52,51,74
13,56,43,60,78,72,96,12,28,58,54,98,68,71,49,0,19,81,97,63,13
67,78,59,97,65,53,65,96,54,54,16,18,19,45,61,19,0,63,33,79,67
73,75,72,64,98,31,32,65,27,11,60,95,76,30,94,81,63,0,22,20,73
100,94,54,73,37,66,31,26,14,98,83,81,99,24,52,97,33,22,0,13,100
12,80,50,36,86,86,24,33,91,35,87,57,85,50,51,63,79,20,13,0,12
0,34,14,77,54,68,15,77,79,72,98,77,72,96,74,13,67,73,100,12,0
